"Benjamin Wright Raymond ( June 15 , 1801 – April 6 , 1883 ) was an American politician who twice served as mayor of Chicago , Illinois ( 1839–1840 , 1842–1843 ) for the Whig Party .","Benjamin Wright Raymond ( June 15 , 1801April 6 , 1883 ) was an American politician who twice served as mayor of Chicago , Illinois ( 1839–1840 , 1842–1843 ) for the Whig Party ."
"Manuel de Ascázubi y Matheu ( 1802– December 25 , 1876 ) served as Vice President of Ecuador from 1847 to 1851 and in that capacity he was also acting President from 10 October 1849 to 10 June 1850 .",Manuel de Ascázubi y Matheu ( 1804–1876 ) served as Vice President of Ecuador from 1847 to 1851 and in that capacity he was also acting President from 10 October 1849 to 10 June 1850 .
"Colonel Loammi Baldwin ( January 10 , 1744-October 20 , 1807 ) was a noted American engineer , politician , and a soldier in the American Revolutionary War .","Colonel Loammi Baldwin ( January 10 , 1744 – October 20 , 1807 ) was a noted American engineer , politician , and a soldier in the American Revolutionary War ."
"Abdalá Jaime Bucaram Ortiz ( born February 20 , 1952 ) is an Ecuadorian politician and lawyer who was President of Ecuador from 10 August 1996 to 6 February 1997 .","Abdalá Jaime Bucaram Ortiz ( ; born February 4 , 1952 ) is an Ecuadorian politician and lawyer who was President of Ecuador from 10 August 1996 to 6 February 1997 ."
"Timothy Pickering ( July 17 1745 – January 29 1829 ) was a politician from Massachusetts who served in a variety of roles , most notably as the third United States Secretary of State , serving in that office from 1795 to 1800 under Presidents George Washington and John Adams .","Timothy Pickering ( July 17 , 1745January 29 , 1829 ) was a politician from Massachusetts who served in a variety of roles , most notably as the third United States Secretary of State , serving in that office from 1795 to 1800 under Presidents George Washington and John Adams ."
"In fact , the last three presidents were previously officials in the Swiss government .","In fact , the last four presidents were previously officials in the Swiss government ."
"Benedict XIII , born Pedro Martínez de Luna y Pérez de Gotor ( 1328–23 May 1423 ) , known as in Spanish , was an Aragonese nobleman , who is officially considered by the Catholic Church to be an antipope .","Benedict XIII , born Pedro Martínez de Luna y Pérez de Gotor ( 25 November 1328 – 23 May 1423 ) , known as in Spanish , was an Aragonese nobleman , who is officially considered by the Catholic Church to be an antipope ."
Vittoria della Rovere ( 7 February 1622–5 March 1694 ) was Grand Duchess of Tuscany as the wife of Grand Duke Ferdinando II .,Vittoria della Rovere ( 7 February 1622 – 5 March 1694 ) was Grand Duchess of Tuscany as the wife of Grand Duke Ferdinando II .
"On 6 January 2010 , former Czech president Václav Havel joined with other communist-era dissidents at the Chinese embassy in Prague to present a petition calling for Liu 's release .","On 6 January 2010 , former Czech president Václav Havel joined with other communist-era dissidents at the Chinese Embassy in Prague to present a petition calling for Liu 's release ."
"The Thorn Valley council decides it would be too dangerous to save the six mice , so Jenny and Timmy go alone .","The Thorn Valley council decides it would be too dangerous to save the eight mice , so Jenny and Timmy go alone ."
"Warren Minor Christopher ( October 27 , 1925 – March 18 , 2011 ) was an American lawyer , diplomat and politician .","Warren Minor Christopher ( October 27 , 1925March 18 , 2011 ) was an American lawyer , diplomat and politician ."
"This move led to public outcry across Scotland with more than 7,000 people signing a petition opposing the council 's move , leading to a compromise whereby the Angus flag would not replace but be flown alongside the Saltire on Council buildings .","This move led to public outcry across Scotland with more than 7,000 people signing a petition opposing the council 's move , leading to a compromise whereby the Angus flag would not replace but be flown alongside the Saltire on council buildings ."
"He was Minister for Finance in the Scottish Executive , and was Member of the Scottish Parliament for Hamilton South until May 2011 .","He was Minister for Finance in the Scottish Executive , and was Member of the Scottish Parliament for Hamilton South until March 2011 ."
"Ninian Edwards ( March 17 , 1775 – July 20 , 1833 ) was a founding political figure of the state of Illinois .","Ninian Edwards ( March 17 , 1775July 20 , 1833 ) was a founding political figure of the state of Illinois ."
"A parliamentary committee was established to examine the case , and unlike in other such committee hearings , Fischer 's statement ( and that of other top officials ) was shown live on public TV .","A parliamentary committee was established to examine the case , and unlike in other such committee hearings , Fischer 's statement ( and that of other top officials ) was shown live on public television ."
"Since the last election on 13 June 2004 , the 42 city council seats are allocated as follows :","Since the last election on 25 May 2014 , the 43 city council seats are allocated as follows :"
"Manuel Jiménez de Parga y Cabrera ( April 9 , 1929 - May 6 , 2014 ) was a Spanish lawyer , politician and diplomat .","Manuel Jiménez de Parga y Cabrera ( April 9 , 1929 – May 7 , 2014 ) was a Spanish lawyer , politician and diplomat ."
"The second inauguration of George Washington as President of the United States took place in the Senate Chamber of Congress Hall in Philadelphia on March 4 , 1793 .","The second inauguration of George Washington as the first President of the United States took place in the Senate Chamber of Congress Hall in Philadelphia on March 4 , 1793 ."
"Under this article , the total number of seats for the Assembly through direct vote is 168 , of which 30 seats are reserved for women and 8 seats for non-Muslims .","Under this article , the total number of seats for the Assembly through direct vote is 168 , of which 29 seats are reserved for women and 9 seats for non-Muslims ."
"In the 9th century , with the consent of Charlemagne and Louis the Pious , it passed under the popes ; but by the 11th century its commune was asserting itself , and for many centuries the city continued to maintain an independent life , warring against many of the neighbouring lands and cities : Foligno , Assisi , Spoleto , Todi , Siena , Arezzo , etc .","In the 9th century , with the consent of Charlemagne and Louis the Pious , it passed under the popes ; but by the 11th century its commune was asserting itself , and for many centuries the city continued to maintain an independent life , warring against many of the neighbouring lands and cities— Foligno , Assisi , Spoleto , Todi , Siena , Arezzo etc ."
"John Bowden Connally , Jr. ( February 27 , 1917 – June 15 , 1993 ) , was an American politician .","John Bowden Connally , Jr. ( February 27 , 1917June 15 , 1993 ) , was an American politician ."
"Businessman Ross Perot ran as candidate for the Reform Party with economist Pat Choate as his running mate ; he received less media attention and was excluded from the presidential debates and , while still obtaining substantial results for a third-party candidate , by U.S. standards , did not renew his success in the 1992 election .","Businessman Ross Perot ran as candidate for the Reform Party with economist Pat Choate as his running mate ; he received less media attention and was excluded from the presidential debates and , while still obtaining substantial results for a third-party candidate , by U.S. standards , did not renew his success of the 1992 election ."
"The marriage was the result of the Treaty of Ryswick , one of its conditions being that the Duchy of Lorraine , which had been for many years in the possession of France , be restored to Leopold , a son of Charles V , Duke of Lorraine .","The marriage was the result of the Treaty of Ryswick , one of its conditions being that the Duchy of Lorraine , which had been for many years in the possession of France , be restored to Leopold Joseph , a son of Charles V , Duke of Lorraine ."
"Although the act , on the part of state legislatures , of `` rejecting '' a proposed constitutional amendment has no legal recognition , such action does have political implications .","Although the act , on the part of state legislatures , of `` rejecting '' a proposed constitutional amendment has no legal recognition , such action does have political ramifications ."
