"Furthermore , spectroscopic studies have shown evidence of hydrated minerals and silicates , which indicate that the surface is stony .","Spectroscopic studies have shown , however , evidence of hydrated minerals and silicates , which indicate rather a stony surface composition .",Science,0.63,1
"Until the mid-19th century , Mexico was the biggest producer of vanilla .","Until the mid-19th century , Mexico was the chief producer of vanilla .",Science,0.31,0
"On June 21 , the JMA upgraded the system into a tropical storm and named it Haima , with the JTWC following suit on June 22 .","On July 12 , both the JMA and JTWC upgraded the system to a tropical storm and named it Ma-on .",Science,0.28,0
Arp was also known as a critic of the Big Bang theory and for helping a non-standard cosmology to create an intrinsic redshift .,Arp was also known as a critic of the Big Bang theory and for advocating a non-standard cosmology incorporating intrinsic redshift .,Science,0.56,1
"By analysing the species ' genes , scientists have shown that it shared the same ancestor as the Eurasian cave lion ( `` Panthera leo spelaea '' or `` P. spelaea '' ) .",It has been shown by genetic analysis to be a sister lineage to the Eurasian cave lion ( `` Panthera leo spelaea '' or `` P. spelaea '' ) .,Science,0.68,1
"Several rabbits can live in one cage , but if so they should be spayed or neutered .",A rabbit can not be declawed .,Science,0.33,1
"The green algae include unicellular and colonial flagellates , usually but not always with two flagella per cell , as well as various colonial , coccoid , and filamentous forms .","The green algae include unicellular and colonial flagellates , most with two flagella per cell , as well as various colonial , coccoid and filamentous forms , and macroscopic , multicellular seaweeds .",Science,0.45,1
"Lynx have not been seen in Yellowstone since 1998 , though DNA taken from hair samples showed that lynx were at least passing through the park .","Lynx have not been seen in Yellowstone since 1998 , though DNA taken from hair samples obtained in 2001 confirmed that lynx were at least transient to the park .",Science,0.47,1
"Infected cells form crown galls or root tumours , respectively .","Infected cells form crown gall or root tumors , respectively .",Science,0.39,1
"He exhibited great manual dexterity and an aptitude for mathematics , although Latin and Greek failed to interest him , and he absorbed the legends and lore of the Scottish people .","He exhibited great manual dexterity , engineering skills and an aptitude for mathematics , while Latin and Greek failed to interest him .",Science,0.48,1
"In February 2011 , the researchers announced at Boston University that they had found evidence of chronic traumatic encephalopathy in Probert 's brain .","In February 2011 , it was announced by researchers at Boston University that they had found evidence of chronic traumatic encephalopathy in Probert 's brain .",Science,0.69,1
