"The usage of telecommuting by major corporations is a significant opportunity to conserve energy , as many Americans now work in service jobs that enable them to work from home instead of commuting to work each day .","The use of telecommuting by major corporations is a significant opportunity to conserve energy , as many Americans now work in service jobs that enable them to work from home instead of commuting to work each day ."
Those who advocate these measures are concerned with the later phases of product lifecycle and the comprehensive outcome of the whole production process .,Those who advocate it are concerned with the later phases of product lifecycle and the comprehensive outcome of the whole production process .
"Thomas Daniel `` Tommy '' Mottola ( born July 14 , 1949 ) is an American music executive , co-owner of Casablanca Records in a joint venture with the Universal Music Group .",He is the co-owner of Casablanca Records in a joint venture with the Universal Music Group .
"Sales for 2002 were about $ 62 million , and those for 2003 were $ 99 million .","Sales for 2002 were about US $ 62 million , and those for 2003 were US $ 99 million ."
"In the north of the province , most industry is concentrated in and around the cities of Bruges and Ostend .","In the north of the province , most industry is concentrated in and around the cities of Bruges and Oostende ."
Jean Henri Dunant was a Swiss businessman and social activist .,Dunant was a Swiss businessman and social activist .
Chaleo and Dietrich each held a 49 % share of the new company .,Yoovidhya and Mateschitz each held a 49 percent share of the new company .
"They have loading docks to load and unload trucks ; or sometimes are loaded directly from railways , airports , or seaports .",They usually have loading docks to load and unload goods from trucks .
"This had followed another long association with local car dealer Ian Skelly , who had sponsored the club since 1984 .","This had in turn followed another long-term association with local car dealer Ian Skelly , who had sponsored the club since 1984 ."
"In 1995 , she received a Masters of European Business from Solvay Brussels School of Economics and Management in Brussels , Belgium and in 2000 , she graduated with a M.B.A. from Harvard Business School .","In 1995 , she received a Masters of European Business degree from Solvay Brussels School of Economics and Management in Brussels , Belgium ."
"Fearing that Daggett , Bane 's employer , would gain access to the reactor , Bruce and Lucius Fox asks board member Miranda Tate to take over his company .","Fearing that Daggett , Bane 's employer , would gain access to the reactor , Bruce asks Wayne Enterprises board member Miranda Tate ( Marion Cotillard ) to take over his company ."
"The divisions are Boeing Commercial Airplanes ( BCA ) ; Boeing Defense , Space & Security ( BDS ) ; Engineering , Operations & Technology ; Boeing Capital ; and Boeing Shared Services Group .","The two largest divisions are Boeing Commercial Airplanes and Boeing Defense , Space & Security ( BDS ) ."
The contest was done by two companies : Antena 3 and Cope .,The contest was conducted by companies Antena 3 and Cope .
This firm had previously been in the business of taking slaves to North America .,This firm had previously been involved in transporting slaves to North America .
The World Bank Group gives loans at low rate of interest to member countries .,The World Bank Group consists of
"While traditional MNCs are national companies with foreign subsidiaries , TNCs spread out their operations in many countries sustaining high levels of local responsiveness. < ref name= '' Case study : The Relationship between the Structure/Strategy of Multinational Corporations and Patterns of Knowledge Sharing within them '' > < /ref > An example of a TNC is Nestlé who employ senior executives from many countries and try to make decisions from a global perspective rather than from one centralized headquarters .",An example of a transnational corporation is Nestlé who employ senior executives from many countries and try to make decisions from a global perspective rather than from one centralized headquarters .
"The United States Secretary of Commerce is the head of the United States Department of Commerce concerned with business and industry ; the Department states its mission to be `` to foster , promote , and develop the foreign and domestic commerce . ''","A member of the President 's Cabinet , the Secretary is concerned with promoting American businesses and industries ; the Department states its mission to be `` to foster , promote , and develop the foreign and domestic commerce '' ."
"Dover Air Force Base is inside the southeast corporate limits of Dover , however the closest sizable civilian airport to Dover is the New Castle Airport in New Castle .",Dover Air Force Base is located within the southeast corporate limits of Dover .
"In January 2013 , the countries with the most LinkedIn users were :",The countries with the most LinkedIn users were :
"Men at Work is an Australian reggae-influenced rock band that formed in 1979 in St. Kilda , a suburb of Melbourne .","Men at Work were an Australian rock band , which formed in 1978 ."
"His partners , Kevin Roche and John Dinkeloo , completed his ten remaining projects , including the St. Louis Arch .","His partners , Kevin Roche and John Dinkeloo , completed his 10 remaining projects , including the St. Louis Arch ."
"In practice it is the locomotive which decides where trains may operate , although many high capacity four axle wagons have high RAs when fully loaded .","In practice it is the locomotive which governs where trains may operate , although many high capacity 4 axle wagons have high RAs when fully loaded ."
"During the 1930s , industry decreased in Huntsville because of the Great Depression .","During the 1930s , industry declined in Huntsville due to the Great Depression ."
The project cost about AU $ 200 million .,The project cost approximately A $ 200 million .
"Mark Robert Michael Wahlberg ( born June 5 , 1971 ) is an American actor and television and movie producer .","Mark Robert Michael Wahlberg ( born June 5 , 1971 ) is an American actor , producer , businessman , and former model and rapper ."
In 1883 a new Peechelba office opened which closed in 1889 .,"In 1890 Peechelba Town office opened , closing in 1969 ."
"In 1602 , the Dutch East India Company issued shares that were made tradable on the Amsterdam Stock Exchange .","Soon afterwards , in 1602 , the Dutch East India Company issued shares that were made tradable on the Amsterdam Stock Exchange ."
"Bacon was often in trouble for spending too much , and in 1601 he was arrested for debt .",In 1598 Bacon was arrested for debt .
This publication deals with virtually every facet of publishing and nearly all tools available as at the time of the publishing of this book in the year 2000 .,This publication deals with virtually every facet of publishing and nearly all tools available at the time ( 2000 ) .
All of the schools and most businesses closed .,"All of the schools closed , and most businesses shuttered ."
"As a specialist in employment and training , he performed several missions in West Africa .","Employment and training specialist , he undertook several missions in West Africa ."
"He told them `` he who shall not work , shall not eat . ''","He publicly stated `` He that will not work , shall not eat '' ."
A Steel mill or steelworks is an industrial plant where steel is manufactured .,A steel mill or steelworks is an industrial plant for the manufacture of steel .
King formed his own band ; the B.B .,King assembled his own band ; the B.B .
RBI also exercises a system of capital controls in addition to the intervention ( through active trading ) in the currency markets .,RBI also exercises a system of capital controls in addition to intervention ( through active trading ) in currency markets .
"Bottrop is in the Ruhr industrial area , It is next to Essen , Oberhausen , Gladbeck and Dorsten .","Located in the Ruhr industrial area , Bottrop adjoins Essen , Oberhausen , Gladbeck and Dorsten ."
He also founded the independent country music record label BNA Records which he later sold to BMG Music .,Castleman founded the independent country music record label BNA Records which he later sold to BMG Music .
Dr. Richard Malouf started All Smiles in 2002 .,Dr. Richard Malouf founded the chain .
The church is in a residential neighborhood on the west side of Topeka about three miles ( 5 km ) west of the Kansas State Capitol .,It is headquartered in a residential neighborhood on the west side of Topeka about west of the Kansas State Capitol .
"On August 15 , 2011 , Google said that it would buy Motorola Mobility for $ 12.5 billion .","On October 30 , 2014 , Google sold off Motorola Mobility to Lenovo ."
"In 1954 , Hudson merged with the Nash-Kelvinator Company , to form American Motors Corporation .","On May 1 , 1954 , Hudson merged with Nash-Kelvinator Corporation to become American Motors ."
"Commercial fishing , once a mainstay of the state 's economy , maintains a presence , mostly lobstering and groundfishing .","Commercial fishing , once a mainstay of the state 's economy , maintains a presence , particularly lobstering and groundfishing ."
The products of the company are sold in about 125 countries .,Their products are sold in approximately 125 countries .
The band was originally signed to Wild Rags but left because the label did not pay them as much as they promised .,The band 's vocalist later stated the label did not pay them as much as promised .
"bands in the early days of the genre included Angelic Upstarts , The 4-Skins , The Business , Blitz , The Blood , and Combat 84 .","in the early days of the genre included Angelic Upstarts , The 4-Skins , The Business , Anti-Establishment , Blitz , The Blood , and Combat 84 ."
Phelps kept the mines until 1948 when the copper had all been taken out .,Phelps retained the mines until 1948 when they were exhausted .
"In addition to its permanent galleries of historical portraits , the National Portrait Gallery exhibits a rapidly changing collection of contemporary work , stages exhibitions of portrait art by individual artists and hosts the annual BP Portrait Prize competition .","In addition to its permanent galleries of historical portraits , the National Portrait Gallery exhibits a rapidly changing selection of contemporary work , stages exhibitions of portrait art by individual artists and hosts the annual BP Portrait Prize competition ."
"One of the early , and most well known , examples of the work of the company includes the graceful arched roof of St. Pancras Station in London , recently restored as an international rail terminal .","One of the early , and most well-known , examples of the work of the company includes the arched roof of St. Pancras Station in London , recently restored as an international rail terminal ."
"1100 New York Avenue is a high-rise office building in Northwest , Washington , D.C. in the United States .","1100 New York Avenue is a high-rise office building located in Northwest , Washington , D.C. in the United States ."
"In general , a company is same as a corporation .","In the US , a company is not necessarily a corporation ."
"In 1996 , the Woman 's Board published a fact sheet on the workplace effects of domestic violence .","In 1996 , the WB published a fact sheet on the workplace effects of domestic violence ."
UOL soon became the leader in the Brazilian internet market .,The company soon became the leader in the Brazilian internet market .
"William Foster went to work for the company Denny and Bellen , `` Dry Goods , Hardware , etc . ''","William Foster found work with the company of Denny and Bellen , `` Dry Goods , Hardware , etc . ''"
"With 27.7 % of the daily crude oil production stopped because of the depression , oil prices rose higher after days of increasing levels , and on September 20 reached a record rate of over $ 84 per barrel .","With 27.7 % of the daily crude oil production halted due to the depression , oil prices rose further after days of increasing levels , and on September 20 reached a record rate of over $ 84 per barrel ."
This system of trading was used mostly in ancient Ghana .,This system of trading was used in particular in ancient Ghana .
Diller was married to Sherwood Anderson Diller from 1939 until they divorced in 1965 .,Diller was married and divorced twice .
"On 4 October , BAE 's shareholders decided that the sale should go ahead , meaning that Airbus is now completely owned by EADS .","On 4 October shareholders voted in favour of the sale , leaving Airbus entirely owned by EADS ."
"In 1994 , he was the author allowed to interview Gérard Mulliez , one of the wealthiest and powerful people in France , for the book `` The Customer Driven Company — Moving from Talk to Action '' ( translated in French as `` La Dynamique du client '' ) by Richard C. Whiteley .","In 1994 , he was the author allowed to interview Gérard Mulliez , one of the wealthiest and powerful people in France , for the book `` The Customer Driven Company — Moving from Talk to Action '' ( translated in French as `` '' ) by Richard C. Whiteley ."
