"He formally announced his candidacy for the Republican nomination in the 2016 Presidential election at a rally in his hometown of Detroit on May 4 , 2015 .","He formally announced his candidacy for the Republican nomination in the 2016 presidential election at a rally in his hometown of Detroit on May 4 , 2015 ."
"In all , the Tudor period is seen as an important one , leading to many questions that would have to be answered in the next century during the English Civil War .","In all , the Tudor period is seen as a decisive one which set up many important questions which would have to be answered in the next century and during the English Civil War ."
"On May 18 , 2015 , Jindal formed a presidential exploratory committee to determine whether he would run as a candidate in the 2016 Presidential election .","On May 18 , 2015 , Jindal formed a presidential exploratory committee to determine whether he would run as a candidate in the 2016 presidential election , and he announced his candidacy on June 24 ."
The President of India is the head of state of the Republic of India .,The President is the first citizen of the country .
"On August 2 , 2009 , the `` Des Moines Register '' reported that Branstad might run for the Republican nomination for governor .","On August 2 , 2009 , the `` Des Moines Register '' reported that Branstad was actively considering running for the Republican nomination for governor ."
"Alfred de Grazia ( December 29 , 1919 - July 12 , 2014 ) , born in Chicago , Illinois , was an American political scientist and author .","Alfred de Grazia ( December 29 , 1919 – July 13 , 2014 ) , born in Chicago , Illinois , was a political scientist and author ."
"Vladislav Ribnikar was the founder of Politika newspaper , the oldest newspaper in Serbia .","Vladislav F. Ribnikar was the founder of `` Politika '' , the oldest Serbian newspaper ."
"Leopold was later created the Duke of Albany , Earl of Clarence and Baron Arklow .","Leopold was later created Duke of Albany , Earl of Clarence , and Baron Arklow ."
"In late 2004 , the Senate Indian Affairs Committee began to investigate Abramoff 's lobbying for American Indian tribes and casinos .","In late 2004 , the Senate Indian Affairs Committee began to investigate Abramoff 's lobbying on behalf of American Indian tribes and casinos ."
"Love for Beatrice ( as in a different manner Petrarch would show for his Laura ) would apparently be the reason for poetry and for living , together with political passions .","Love for Beatrice ( as Petrarch would show for Laura somewhat differently ) would be his reason for poetry and for living , together with political passions ."
"The two positions are a diarchy , meaning they have equal power ; both are nominated and appointed by members of the Northern Ireland Assembly .",The two positions have the same governmental power .
He later served as the Governors for The Bahamas and Barbados and finally as the Governor for Trinidad and Tobago .,He later served as the Governor for The Bahamas and Barbados and finally as the Governor for Trinidad and Tobago .
"Following the death of Morgan Morgan-Giles on 4 May 2013 , Freeman was the oldest surviving former MP .","When Morgan Morgan-Giles died on 4 May 2013 , Freeman became the oldest surviving former MP ."
"He has been a member of the Swedish Riksdag since 1994 representing Kalmar län , and has also worked as a photographer and journalist .","He has been a member of the Swedish parliament since 1994 , representing Kalmar län ."
"Although he was a political conservative , his reputation as somebody who spoke for the poor made him seem real , and became important in the early struggle against charrismo , the one-party government 's practice of taking over unions .","Although he was a political conservative , his reputation as a spokesperson for the downtrodden gave his actions authenticity and became important in the early struggle against `` charrismo '' , the one-party government 's practice of co-opting and controlling unions ."
"Most parish councillors are elected to represent the entire parish , though in parishes with larger populations or those that cover large areas , the parish can be divided into wards .","Most rural parish councillors are elected to represent the entire parish , though in parishes with larger populations or those that cover larger areas , the parish can be divided into wards ."
The Pallavas had the more difficult existence of the two as they had to fight on two fronts - against the Pandyas as wells as the Chalukyas .,The Pallavas had the more difficult existence of the two as they had to fight on two fronts—against the Pandyas as wells as the Chalukyas .
"Malik Barkat Ali ( April 1885 - 5 April 1946 ) was an Indian politician , lawyer and journalist .","Malik Barkat Ali ( 1886 – 1946 ) was a Muslim Indian politician , lawyer and journalist ."
Raif Dizdarević ( born 9 December 1926 ) is a Bosniak former politician .,Raif Dizdarević ( born 9 December 1926 ) is a Bosnian politician .
"While Prime Minister , his government oversaw the prosecution of John Wilkes and the passing of the American Stamp Act 1765 , which led to the first disagreements between American colonies and Great Britain that led to the American Revolutionary War .","Prominent measures of his administration included the prosecution of John Wilkes and the passing of the American Stamp Act 1765 , which led to the first symptoms of alienation between American colonies and Great Britain ."
"She is the great-granddaughter of Swedish prime minister Oscar von Sydow , and also related to actor Max von Sydow and politician Björn von Sydow .",She is related to actor Max von Sydow and Social Democratic politician Björn von Sydow .
This diarchy was created to enable the leaders of the main unionist and nationalist parties to work together as a team jointly representing both communities .,"It was created to enable the leaders of the main unionist and nationalist parties to work together , with guaranteed joint representation of both main communities ."
"Isidro Ayora Cueva ( September 2 , 1879 – March 22 , 1978 ) was an Ecuadorian political figure .","Isidro Ramon Antonio Ayora Cueva ( September 2 , 1879 – March 22 , 1978 ) was an Ecuadorian political figure ."
"Putin suppressed the Chechen rebellion violently , but sporadic violence still occurs in the Northern Caucasus .",Putin suppressed the Chechen insurgency although sporadic violence still occurs throughout the Northern Caucasus .
Campaign which becomes very prominent each time the country holds elections .,Campaign which became very prominent during elections .
