"Cyrus West Field ( November 30 , 1819 – July 12 , 1892 ) was an American businessman and financier who , along with other entrepreneurs , created the Atlantic Telegraph Company and laid the first telegraph cable across the Atlantic Ocean in 1858 .","Cyrus West Field ( November 30 , 1819July 12 , 1892 ) was an American businessman and financier who , along with other entrepreneurs , created the Atlantic Telegraph Company and laid the first telegraph cable across the Atlantic Ocean in 1858 ."
"Howard Malcolm `` Mac '' Baldrige , Jr. ( October 4 , 1922 – July 25 , 1987 ) was an American businessman .","Howard Malcolm `` Mac '' Baldrige , Jr. ( October 4 , 1922July 25 , 1987 ) was an American businessman ."
"In 1862 , Lorenzo Delmonico hired him for Delmonico 's Restaurant , and it was there that Ranhofer made his real fame , though others say that he made the fame of the restaurant as well .","In 1862 , Lorenzo Delmonico hired him for Delmonico 's , and it was there that Ranhofer made his real fame , though others say that he made the fame of the restaurant as well ."
"He lived and worked at his 16th-century Tudor estate , Sutton Place near Guildford ; the traditional country house became the centre of Getty Oil and his associated companies and he used the estate to entertain his British and Arabian friends ( including the British Rothschild family and numerous rulers of Middle Eastern countries ) .","He lived and worked at his 16th-century Tudor estate , Sutton Place near Guildford , Surrey ; the traditional country house became the centre of Getty Oil and his associated companies and he used the estate to entertain his British and Arabian friends ( including the British Rothschild family and numerous rulers of Middle Eastern countries ) ."
"Since the solvent recovery is less than 100 % , and because dry-cleaning does not remove water-based stains well , entrepreneurs have developed the wet cleaning process , which is , in essence , cold-water washing and air drying , using a computer-controlled washer and dryer .","Since the solvent recovery is less than 100 % , and because dry cleaning does not remove water-based stains well , entrepreneurs have developed the wet cleaning process , which is , in essence , cold-water washing and air drying , using a computer-controlled washer and dryer ."
"Anchor Bay markets and sells feature movies , television series , television specials and short films to consumers worldwide .","Anchor Bay markets and sells feature films , series , television specials and short films to consumers worldwide ."
"Businessman Ross Perot ran as candidate for the Reform Party with economist Pat Choate as his running mate ; he received less media attention and was excluded from the presidential debates and , while still obtaining substantial results for a third-party candidate , by U.S. standards , did not renew his success in the 1992 election .","Businessman Ross Perot ran as candidate for the Reform Party with economist Pat Choate as his running mate ; he received less media attention and was excluded from the presidential debates and , while still obtaining substantial results for a third-party candidate , by U.S. standards , did not renew his success of the 1992 election ."
"At the death of his father in 1934 , Ensko took over Robert Ensko , Inc. which had its showroom at 682 Lexington Avenue in Manhattan .","At the death of his father in 1934 , Stephen took over Robert Ensko , Inc. which had its showroom at 682 Lexington Avenue in Manhattan ."
"On 30 August 2013 , Tottenham Hotspur announced that they had completed the transfer of Eriksen from Ajax , in a deal believed to be worth £11 million ( €13.5 million ) , after Eriksen passed a medical at the club .","On 30 August 2013 , Tottenham Hotspur announced that they had completed the transfer of Eriksen from Ajax in a deal believed to be worth £11 million ( $ 12.45 million ) , after Eriksen passed a medical at the club ."
"After Randy Orton had cheated to obtain Rey Mysterio 's title shot at `` WrestleMania 22 '' , Long placed Mysterio back in the match and made it a Triple Threat Match , at the same time warning Orton that he could still remove Orton from the match if he disobeyed Long .","After Randy Orton had cheated to obtain Rey Mysterio 's title shot at WrestleMania 22 , Long placed Mysterio back in the match and made it a Triple Threat match , at the same time warning Orton that he could still remove Orton from the match if he disobeyed Long ."
