The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
His performance earned him the first Major League Baseball Rookie of the Year Award ( separate National and American League Rookie of the Year honors were not awarded until 1949 ) .,His cumulative performance earned him the inaugural Major League Baseball Rookie of the Year Award ( separate National and American League Rookie of the Year honors were not awarded until 1949 ) .
"Portugal was next and the Ferraris took 1-2 in qualifying with Mansell ahead of Prost , Senna , Berger , Patrese and Piquet .","In qualifying , Senna took pole ahead of Prost , Mansell , Berger , Boutsen and Piquet ."
The turnbuckle thrust is move where the wrestler performs a shoulder block to an opponent that is set up on the turnbuckle .,This move is a shoulder block performed to an opponent who is set up on the turnbuckle .
"The main event saw Seth Rollins defeat Roman Reigns , Dean Ambrose and Randy Orton in a Fatal 4-Way match to retain the WWE World Heavyweight Championship .","At Extreme Rules , Seth Rollins defeated Randy Orton in a Steel Cage match to retain the WWE World Heavyweight Championship ."
Once ready they will hunt as a group rather than individually .,"Once ready , they hunt as a group rather than individually ."
"Theo `` Teddy '' Peckham ( born November 10 , 1987 in Richmond Hill , Ontario ) is a Canadian professional ice hockey defenceman currently playing for the Chicago Blackhawks of the NHL .","Theo `` Teddy '' Peckham ( born November 10 , 1987 ) is a Canadian professional ice hockey defenceman who is currently playing for the Wichita Thunder of the ECHL ."
Elitserien ( ) is the Swedish men 's volleyball top top division .,Elitserien ( ) is the Swedish women 's volleyball top top division .
"In the 2008 Dresden Olympiad , she played on board 1 for Georgia , which won the gold medal ( 1st place ) .","In 2008 Dresden Olympiad , she played on board 1 , for Georgia , that won the gold medal ( 1st place ) ,"
"On June 24 , 2013 , Bickell won his second Stanley Cup with the Blackhawks after they defeated the Boston Bruins 4 games to 2 in the 2013 Stanley Cup Finals .","He won the Stanley Cup with the Blackhawks in 2010 , 2013 and 2015 ."
"Dhoni has also been given many awards , such as the ICC ODI Player of the Year award in 2008 and 2009 ( the first Indian player to achieve this ) , the Rajiv Gandhi Khel Ratna award in 2007 and the Padma Shri , India 's fourth-highest civilian honour , in 2009 .","Dhoni has been the recipient of many awards , including the ICC ODI Player of the Year award in 2008 and 2009 ( the first player to win the award twice ) , the Rajiv Gandhi Khel Ratna award in 2007 and the Padma Shri , India 's fourth highest civilian honour , in 2009 ."
"Several weeks later , during the inaugural Champ Car Grand Prix of Montreal , Cristiano Da Matta set pole position with a lap time of 1:18.959 .","Several weeks later , during the inaugural Champ Car Grand Prix of Montreal , Cristiano da Matta set pole position with a lap time of 1:18.959 ."
The Tour of Britain 2006 took place from the 29 August to 3 September as a UCI category 2.1 event .,The 2012 Tour of Britain was held from 9 to 16 September .
"In late January 1937 , the `` Pasadena Star-News '' newspaper wrote that Robinson `` for two years has been the outstanding athlete at Muir , starring in football , basketball , track , baseball and tennis . ''","In late January 1937 , the `` Pasadena Star-News '' newspaper reported that Robinson `` for two years has been the outstanding athlete at Muir , starring in football , basketball , track , baseball and tennis . ''"
Sid Smith • Jean Beliveau • Maurice Richard,Ted Lindsay • Jean Beliveau • Maurice Richard
"Clarke emigrated to Sri Lanka in 1956 largely to pursue his interest in scuba diving ; That year , he discovered the underwater ruins of the ancient Koneswaram temple in Trincomalee .","Clarke immigrated to Sri Lanka in 1956 , largely to pursue his interest in scuba diving ."
