"The government 's takeover of foreign businesses , particularly petroleum companies , upset Britain and the United States , who both ended aid to Sri Lanka .","Further problems arose with the state takeover of foreign businesses , particularly petroleum companies , which upset the United States and Britain ; they ended aid to Sri Lanka ."
"In response , Carter sent three British gunboats to get revenge for the bad treatment shown to the envoy .","In response , Carter sent three British gunboats to avenge the outrage upon the envoy ."
This is a list of heads of government of Belarus from 1918 to the present .,This is a list of heads of government of Belarus from 1918 until present .
The organisation kept its name when even when the Nationalists became the UAP .,The organisation kept its name when its parent party became part of the UAP .
"Richard Joseph `` Dick '' Durbin ( born November 21 , 1944 ) is the senior United States Senator from Illinois and the Senate Majority Whip , the second highest position in the Democratic Party leadership in the Senate .","Richard Joseph `` Dick '' Durbin ( born November 21 , 1944 ) is the senior United States Senator from Illinois , in office since 1997 ."
Videla came to power in a coup d'état that deposed Isabel Martínez de Perón .,He came to power in `` a coup d'état '' that deposed Isabel Martínez de Perón .
"Under the Illinois Constitution , the Attorney General , currently Lisa Madigan , is next in line of succession to the Governor 's office after the lieutenant governor , but does not succeed to the Lieutenant Governor 's office .","Under the Illinois Constitution , the Attorney General is next in line of succession to the Governor 's office after the lieutenant governor , but does not succeed to the Lieutenant Governor 's office ."
"The second stage in the development of the United Kingdom took effect on 1 January 1801 , when the Kingdom of Great Britain merged with the Kingdom of Ireland to form the United Kingdom of Great Britain and Ireland .","On 1 January 1801 , the Great Britain and Ireland joined to form the United Kingdom of Great Britain and Ireland ."
"In 1832 de Lesseps was appointed vice-consul at Alexandria , and in 1833 he became consul in Cairo , and soon afterwards given the management of the consulate general at Alexandria , until 1837 .",In 1832 de Lesseps was appointed vice-consul at Alexandria .
"Life under Pinochet 's dictatorship still proved impossible , so they found political refuge in Québec , Canada .","Life under Pinochet 's dictatorship still proved impossible , so they found political refuge in Québec ."
", also known as Noboyuki Abe , was a general in the Imperial Japanese Army , Governor-General of Korea , and 36th Prime Minister of Japan from August 30 , 1939 to January 16 , 1940 .",Abe became Prime Minister on 30 August 1939 .
"A coalition government , in a parliamentary system , is a government made from a coalition of parties .","A coalition government , in a parliamentary system , is a government composed of a coalition of parties ."
His position as Secretary of Agriculture was never confirmed by the United States Senate .,"However , his position was never confirmed by the United States Senate ."
The conservative government of Maurice Duplessis dominated Quebec politics from 1944 to 1960 with the support of the Catholic Church .,The conservative government of Maurice Duplessis and his Union Nationale dominated Quebec politics from 1944 to 1959 with the support of the Catholic Church .
"She resigned her office on January 2 , 2007 in order to be sworn in to Congress on January 4 , 2007 .","She resigned her office on January 2 , 2007 in order to be sworn into Congress on January 4 , 2007 ."
"Later Potemkin ordered the shipyard to be named `` Nikolaev '' to commemorate the date of fall of Ochakov to the Russian troops under his command on December 6 , 1788 , close to the day of Saint Nicholas `` ( Nikolay ) '' December 19 , in the Russian Orthodox Church .","Later Potemkin ordered the shipyard to be named `` Nikolaev '' to commemorate the date when Ochakov fell to the Russian troops under his command on 6 December 1788 , the feast day of Saint Nicholas `` ( Nikolai ) '' on the Russian Orthodox Church calendar ."
"In June 2007 , representatives of the three countries announced they would be , as a `` single country '' , bidding for the 2018 FIFA World Cup .","In June 2007 , representatives of the three countries announced they would bid , as a single political entity , for the 2018 FIFA World Cup ."
Britské listy is an Internet cultural and political daily published in the Czech Republic .,Britské listy is a Czech-language cultural and political internet daily .
"It was founded near the end of the 4th century BC by Seleucus I Nicator , one of Alexander the Great 's generals .","Antioch was founded near the end of the 4th century BC by Seleucus I Nicator , one of Alexander the Great 's generals ."
"Victor Amadeus of Savoy ( Vittorio Amedeo Giovanni Filippo ; 6 May , 1699–22 March , 1715 ) was the eldest son of Victor Amadeus II , Duke of Savoy and Anne Marie d'Orléans .","Victor Amadeus of Savoy ( Vittorio Amedeo Filippo Giuseppe ; 6 May 1699 – 22 March 1715 ) was the eldest son of Victor Amadeus II , Duke of Savoy and his French wife Anne Marie d'Orléans ."
"Many times , though , the electors are simply important people whose wisdom would ideally make a better choice than a larger group of people .","Many times , though , the electors are simply important people whose wisdom would ideally provide a better choice than a larger body ."
"The longest-serving Premier is Dalton McGuinty of Ontario , who has held the position since October 23 , 2003 ; the newest Premier is Pauline Marois of Quebec , who assumed office on September 17 , 2012 .","The longest-serving Premier is Brad Wall of Saskatchewan , who has held the position since November 21 , 2007 ; the newest Premier is Dwight Ball of Newfoundland and Labrador , who assumed office on December 14 , 2015 ."
He was Iran 's Ambassador to Germany from 1982 until 1986 .,He was Iran 's Ambassador to West Germany from 1982 until 1986 .
A corporator is elected for each of the wards .,A corporator is elected in each of the wards .
All of the leaders go to a meeting to discuss the feud with the Britons .,All of the leaders go to a counsel to discuss the feud with the Britons .
