"The band played their first show in September at Raji 's , a small club in Hollywood , and played three more shows in California in 1989 .","Hole 's first show took place at Raji 's , a small bar in Hollywood , in September 1989 ."
"In March 2001 , he was reading an Inuit story to his children and had a revelation .","In March 2001 , he was reading an Inuit tale to his children and had a revelation ."
"Total sales of rhythm games , having reached $ 1.4 billion in 2008 , reached only $ 700 million in 2009 , with analysts predicting the market will settle at the same `` healthy '' $ 500–600 million level seen by the `` Call of Duty '' series .","Sales of rhythm games , which totalled $ 1.47 billion in 2008 , reached only $ 700 million in 2009 ."
"At the end of the series , The `` Ash & Pikachu '' manga is similar , although it has the episodes from the anime like `` The Fortune Hunters '' and `` A Goldenrod Opportunity '' combined , but with a few changes .","The `` Ash & Pikachu '' manga is similar , although it has the episodes from the anime like `` The Fortune Hunters '' and `` A Goldenrod Opportunity '' combined , but with a couple of changes ."
He wrote about the project in his books `` Computer Lib/Dream Machines '' ( 1974 ) and `` Literary Machines '' ( 1981 ) .,The effort is documented in his 1974 book `` Computer Lib / Dream Machines '' and the 1981 `` Literary Machines '' .
The first person to use this word was the now dead New York DJ Frankie Crocker in the mid 1970s .,The term was coined by New York DJ Frankie Crocker in the mid-1970s .
The Poodles is a glam metal/heavy metal band from Sweden .,The Poodles are a glam metal/heavy metal band from Sweden .
At the same time she reached the number one spot on the Svensktoppen Chart with the song `` Till en fågel '' .,At the same time she reached the number one spot on the Svensktoppen chart with the song `` Till en fågel '' .
"He was born in Barcelona in 1861 , and died in Aranjuez in 1931 while painting its famous gardens .",He died in Aranjuez in 1931 while painting its famous gardens .
"Moody was replaced by another guitarist , Terry Balsamo .",Moody was replaced by Terry Balsamo from Cold .
Hoffmann 's 1816 fairy tale `` The Nutcracker and the Mouse King '' .,Hoffmann 's story `` The Nutcracker and the Mouse King '' .
She is a known fashion expert for the television series `` How Do I Look ? `` .,She is most known as the host of the Style Network series `` How Do I Look ?
"He won the French Prix de Rome in 1882 , with his work `` Edith '' .","He won the French Prix de Rome in 1882 , with his cantata `` Edith '' ."
"The mall also has exhibition hall , Thai Art Gallery , an opera concert hall , a large bowling alley and a karaoke center .",It also has a large bowling alley and karaoke centre .
"The octaves follow A1 , A2 , etc.. A7 is a few pitches lower than C8 , the highest note on the standard piano .","The octaves follow A1 , A2 , etc ."
