"The first pictures of Perdita were taken by the `` Voyager 2 '' spacecraft in 1986 , but it was not recognized from the photographs for more than a decade .","The first photographs of Perdita were taken by the `` Voyager 2 '' spacecraft in 1986 , but it was not recognized from the photographs for more than a decade ."
"If Kepler-22b has a highly elongated orbit it may well only spend a small fraction of its time within this habitable zone , which would cause extreme temperature differences on the planet and make it inhospitable .","If Kepler-22b has a highly elongated orbit it may well only spend a small fraction of its time within this habitable zone , which would cause extreme temperature differences on the planet and might make it inhospitable ."
"David L. Rosenhan ( 1929 – February 6 , 2012 ) was an American psychologist .","David L. Rosenhan ( November 22 , 1929 – February 6 , 2012 ) was an American psychologist ."
"Water and other volatiles can more easily and gradually escape from mafic lava , so eruptions of volcanoes made of mafic lavas are less explosively violent than felsic lava eruptions .","Water and other volatiles can more easily and gradually escape from mafic lava , so eruptions of volcanoes made of mafic lavas are less explosively violent than felsic-lava eruptions ."
It was broadcast between 1967 and March 1969 .,It was broadcast between April 1967 and March 1969 .
"This yields 2 NADH molecules and 4 ATP molecules , leading to a net gain of 2 NADH molecules and 2 ATP molecules from the glycolytic pathway per glucose molecule .","This yields 2 NADH molecules and 4 ATP molecules , leading to a net gain of 2 NADH molecules and 2 ATP molecules from the glycolytic pathway per glucose ."
"The movie won Saturn Awards for Best Science Fiction Film , Best Writing , Best Special Effects , Best Music , and Best Poster Art , while Henry Thomas , Robert McNaughton , and Drew Barrymore won Young Artist Awards .","The film won Saturn Awards for Best Science Fiction Film , Best Writing , Best Special Effects , Best Music , and Best Poster Art , while Henry Thomas , Robert McNaughton , and Drew Barrymore won Young Artist Awards ."
The British Antarctic Survey has three permanently staffed research stations in the Territory :,The British Antarctic Survey has two permanently staffed research stations in the Territory :
"Johann Palisa ( December 6 1848–May 2 1925 ) was an Austrian astronomer , born in Troppau in Austrian Silesia ( now in the Czech Republic ) .","Johann Palisa ( December 6 , 1848 – May 2 , 1925 ) was an Austrian astronomer , born in Troppau in Austrian Silesia ( now in the Czech Republic ) ."
"In the movie , the actress will work with Murilo Rosa and Isaiah Washington in the sci-fi `` Area Q '' , a co-production between Brazil and the United States , which deals with the appearance of aliens in Quixadá and Quixeramobim , Ceará cities .","In the film , the actress will work with Murilo Rosa and Isaiah Washington in the sci-fi `` Area Q '' , a co-production between Brazil and the United States , which deals with the appearance of aliens in Quixadá and Quixeramobim , Ceará cities ."
"It was discovered by the fly geneticist Alfred Sturtevant in 1919 , when he noticed that the flies used in Thomas Hunt Morgan 's laboratory at the Columbia University were actually two distinct species : `` D. melanogaster '' and `` D. simulans '' .","This species was discovered by the fly geneticist Alfred Sturtevant in 1919 , when he noticed that the flies used in Thomas Hunt Morgan 's laboratory at the Columbia University were actually two distinct species : `` D. melanogaster '' and `` D. simulans '' ."
"After building the synchrotron at Cornell , Robert R. Wilson took a leave of absence to become the founding director of Fermilab , which involved designing and building the Tevatron , the largest accelerator in the United States .","After building the synchrotron at Cornell , Robert R. Wilson took a leave of absence to become the founding director of Fermilab , which involved designing and building the largest accelerator in the United States ."
"Over 300 new species have been discovered at hydrothermal vents , many of them `` sister species '' to others in geographically separated vent areas .","Over 300 new species have been discovered at hydrothermal vents , many of them `` sister species '' to others found in geographically separated vent areas ."
