"During their 45-year marriage , Charles and Anne lived in New Jersey , New York , England , France , Maine , Michigan , Connecticut , Switzerland , and Hawaii .","Over the course of their 45-year marriage , Charles and Anne lived in New Jersey , New York , England , France , Maine , Michigan , Connecticut , Switzerland , and Hawaii ."
"It grows as an annual in patches of red sand in Central Australia , responding rapidly to bouts of rainfall to complete its life cycle .","It grows as an annual in patches of red sand in Central Australia , responding rapidly to bouts of rainfall to complete its lifecycle ."
"Canterbury is a town in Windham County , Connecticut .","Canterbury is a town in Windham County , Connecticut , United States ."
"333 North Michigan is an art deco skyscraper located in the Loop community area of Chicago , Illinois in the United States .","333 North Michigan is an Art Deco skyscraper located in the Loop community area of Chicago , Illinois in the United States ."
Park County 's seat is Cody .,The county seat is Cody .
"East Honolulu is a census-designated place ( CDP ) in Honolulu County , Hawaii , United States .","East Honolulu is a census-designated place ( CDP ) located in the City and County of Honolulu , Hawaii , United States ."
Central Ostrobothnia is a region in western Finland .,Central Ostrobothnia ( ; ) is a region in Finland .
"The Rykestrasse Synagogue Germany 's largest synagogue , is located in the Prenzlauer Berg neighbourhood of the Pankow district .","The Rykestrasse Synagogue , Germany 's largest synagogue , is located in the Prenzlauer Berg locality ."
The Gulf of Oman is an arm of the Arabian Sea that borders Iran and south-western Pakistan to the north and Oman and the United Arab Emirates to the south .,"The gulf borders Pakistan and Iran on the north , Oman on the south , and the United Arab Emirates on the west ."
"This process is being reversed in places , with some plantations being returned to heathland or broadleaved woodland .","This process is today being reversed in places , with some plantations being returned to heathland or broadleaved woodland ."
Burhou ( pronounced bu-ROO ) is a small island approximately northwest of Alderney that is part of the Channel Islands .,Burhou ( pronounced `` ber-ROO '' ) is a small island about 1.4 miles ( 2.25 km ) northwest of Alderney that is part of the Channel Islands .
"The district is divided into 51 villages ( 里 ) , which are further divided up into 987 villages ( 鄰 ) .","The district is divided up into 51 villages ( 里 ) , which are further divided up into 987 neighborhoods ( 鄰 ) ."
Many government buildings and agencies are on the waterfront .,Many government buildings and agencies are located on the waterfront .
"Fort Mitchell is a city in Kenton County , Kentucky in the United States .","Fort Mitchell is a home rule-class city in Kenton County , Kentucky , in the United States ."
"Central America has many mountain ranges ; the longest are the Sierra Madre de Chiapas , the Cordillera Isabelia and the Cordillera de Talamanca .","Of the many mountain ranges within Central America , the longest are the Sierra Madre de Chiapas , the Cordillera Isabelia and the Cordillera de Talamanca ."
"Northbourne is a village and civil parish near Deal in Kent , England .","Northbourne is a village near Deal in Kent , England ."
"However , older definitions , and many older maps , place its start a few miles up the Goyt ; for example the 1911 Encyclopaedia Britannica states `` It is formed by the junction of the Goyt and the Etherow a short distance below Marple in Cheshire on the first-named stream . ''","However , older definitions , and many older maps , place its start a few miles up the Goyt at Compstall ; for example the 1911 Encyclopædia Britannica states `` It is formed by the junction of the Goyt and the Etherow a short distance below Marple in Cheshire on the first-named stream . ''"
"It is the hottest , driest , and lowest place in North America .","It is the lowest , driest , and hottest area in North America ."
The Norwegian crime writer and glacier expert Monica Kristensen has written a novel set in Svalbard entitled `` Operation Fritham '' .,The Norwegian crime writer and glaciologist Monica Kristensen has written a novel set in Svalbard entitled `` Operation Fritham '' .
"As the sovereign 's representative in his or her county , the Lord-Lieutenant remains non-political and holds no office in any political party .","As the sovereign 's representative in his or her county , the Lord-Lieutenant remains non-political and does not hold office in any political party ."
