It was first published on 19 December 1843 by Chapman & Hall in London .,The book was published on 19 December 1843 .
"Its fossils were found in Egypt , Niger , and in several different locations in the Sahara Desert .","Its fossils have been found in Egypt , Niger and in several different locations in the Sahara Desert ."
The small molecule can approach in either a linear or non-linear way .,The small molecule can approach in a linear or non-linear fashion .
"According to special relativity , c is the maximum speed at which all energy , matter , and physical information in the universe can travel .","According to special relativity , is the maximum speed at which all matter and hence information in the universe can travel ."
It is now part of the Royal Netherlands Academy of Arts and Sciences .,IISG is part of the Royal Netherlands Academy of Arts and Sciences .
"Convection increased within the system , and the large system developed a thick area of convection along with an organized low pressure area .","Convection increased within the system , and it developed a concentrated area of convection in conjunction with a well-defined low pressure area ."
Chemical vapor deposition is also a widely used high temperature method for the preparation of coatings and semiconductors from molecular precursors .,Chemical vapour deposition is a high temperature method that is widely employed for the preparation of coatings and semiconductors from molecular precursors .
"He wrote : `` Das Werden der Organismen , eine Widerlegung der Darwinschen Zufallslehre '' ( Jena , 1916 ) ( translation : `` The Origin of Organisms : a refutation of Darwin 's theory of chance '' ) .","His most important theoretical book was : `` Das Werden der Organismen , eine Widerlegung der Darwinschen Zufallslehre '' ( Jena , 1916 ) ( translation : `` The Origin of Organisms – a Refutation of Darwin 's Theory of Chance '' ) ."
"At about the same time as Walther Flemming , and Edouard van Beneden , he worked out chromosome movement during mitosis in plant cells .","Together with Walther Flemming , and Edouard van Beneden he elucidated chromosome distribution during cell division ."
"More studies showed it formed a clade with several other carcharodontosaurid-like allosaurs , the Neovenatoridae .","More detailed studies found that it formed a clade with several other carcharodontosaurid-like allosaurs , the Neovenatoridae ."
"From 1900 to 1920 many new buildings were built on campus , including buildings for the dental and pharmacy programs , a chemistry building , a building for the natural sciences , Hill Auditorium , large hospital and library buildings , and two residence halls .","From 1900 to 1920 , the university constructed many new facilities , including buildings for the dental and pharmacy programs , chemistry , natural sciences , Hill Auditorium , large hospital and library complexes , and two residence halls ."
"In `` On the Origin of Species '' , Darwin called this eusocial behavior the `` one special difficulty , which at first appeared to me insuperable , and actually fatal to my theory '' .","In `` On the Origin of Species '' , Darwin referred to the existence of sterile castes as the `` one special difficulty , which at first appeared to me insuperable , and actually fatal to my theory '' ."
"Umbriel 's surface is the darkest of the Uranian moons , and reflects only about half as much light as Ariel , Uranus ' brightest moon .","Umbriel 's surface is the darkest of the Uranian moons , and reflects less than half as much light as Ariel , a sister satellite of similar size ."
Alternative splicing of introns within a gene allows a variety of protein isoforms from a single gene .,Alternative splicing is widely used to generate multiple proteins from a single gene .
"It was the second strongest storm on the planet in 1989 , when Voyager 2 flew by the planet .","It was the second most intensive storm on the planet in 1989 , when `` Voyager 2 '' flew by the planet ."
"Many of the earliest discoveries of dinosaur and other prehistoric reptile remains were made in the area surrounding Lyme Regis , notably those discovered by Mary Anning ( 1799–1847 ) .","Many of the earliest discoveries of dinosaur and other prehistoric reptile remains were made in the area around Lyme Regis , notably those discovered by Mary Anning ( 1799–1847 ) ."
"The Bellybutton nautilus , `` Nautilus macromphalus '' , is the smallest species , usually measuring only 16 cm .","`` Nautilus macromphalus '' is the smallest species , usually measuring only ."
"The Australian National University ( ANU ) in Canberra , Australia , is the only university set up by the Federal Government of Australia .","The Australian National University ( ANU ) is a national research university located in Canberra , the capital of Australia ."
