The Scandinavian Mountains are a mountain range that runs through the Scandinavian Peninsula .,The Scandinavian Mountains or the Scandes is a mountain range that runs through the Scandinavian Peninsula .
"However , on October 12 of the same year the Soviets quit and gave the area to the Germans , because of the Nazi-Soviet Alliance .","However , on October 12 of the same year , the Soviets withdrew and transferred the area to the Germans , in accordance with the Nazi-Soviet Alliance ."
Inari is a municipality in Lapland .,Inari is the largest municipality in Finland .
"Historically , Syunik was one of the 15 provinces of the Kingdom of Armenia .","Historically , Syunik was one of the 15 provinces of the ancient Kingdom of Armenia ."
He graduated from Beloit College in Wisconsin with a Bachelor 's degree in Creative Writing and later traveled to Egypt before settling in Yemen .,He traveled to Egypt before settling in Yemen .
"Inverbervie ( Ordnance Survey ) is a small town on the north-east coast of Scotland , south of Stonehaven , in the Aberdeenshire council area .","Inverbervie ( from or `` Biorbhaigh '' , `` mouth of the River Bervie '' ) is a small town on the north-east coast of Scotland , south of Stonehaven , in the Aberdeenshire council area ."
Dover is one of only four state capitals not served by an interstate highway .,Dover is one of only four state capitals not served by an Interstate highway .
Leeds and Manchester are the most important cities for business in the North of England .,"Leeds is a city in West Yorkshire , England ."
He explored the rivers of Virginia and the Chesapeake Bay and drew a map of the Chesapeake Bay area and New England .,He was the first English explorer to map the Chesapeake Bay area and New England .
Lynchburg is an independent city in the U.S. state of Virginia .,Lynchburg is an independent city in the Commonwealth of Virginia .
"Until the end of 1775 , Baldwin and his men stayed near Boston , but in April 1776 , he was ordered with his command to New York City .","Until the end of 1775 , Baldwin and his men remained near Boston , but in April 1776 , he was ordered with his command to New York City ."
"After the wolves were gone from Yellowstone , the coyote became the park 's top canine predator .","After the wolves were extirpated from Yellowstone , the coyote then became the park 's top canine predator ."
"The main rivers in the department are the Loire , that makes most of the western border of the department and that flows to the north , into the Atlantic Ocean ; and the Saône , in the eastern part of the department and that flows to the south and joins the Rhône river at Lyon .","The source of the Loire , is south of the department , in the department of Ardèche ."
"Jeffersonville is a city of Clark County in the state of Indiana , United States .","Jeffersonville is a city in Clark County , Indiana , along the Ohio River ."
Carabietta is a municipality of the district Lugano in the canton of Ticino in Switzerland .,Carabietta is a former municipality in the district of Lugano in the canton of Ticino in Switzerland .
Herent is a municipality in the Belgian province of Flemish Brabant .,Herent ( ) is a municipality located in the Belgian province of Flemish Brabant .
"The province is divided into four municipalities - Belize , Buco Zau , Cabinda and Landana .","The province is divided into four municipalities—Belize , Buco Zau , Cabinda and Landana ."
"They live in southwestern and southern China ( including Taiwan and Hainan ) and throughout southern Asia from northern Pakistan and Nepal through India to Sri Lanka , Andaman Island , Sumatra , Java , Borneo , and Bali .","It is endemic to southwestern and southern China ( including Hainan ) , Taiwan , and throughout southern Asia from northern Pakistan and Nepal through India to Sri Lanka , Andaman Island , Sumatra , Java , Borneo , and Bali ."
"A small town , Cornishtown , was about a mile west of Adelong till the 1940s .",A community named Cornishtown existed about a mile to the west of Adelong till the 1940s .
Lalín is the capital of the region of Deza .,It 's the capital of the region of the Deza .
Cherokee County is a county in the U.S. state of North Carolina .,Cherokee County is the westernmost county in the U.S. state of North Carolina .
Sint-Amands is a municipality in the Belgian province of Antwerp .,"Sint-Amands ( ) is a municipality located in the Belgian province of Antwerp , Belgium ."
The bush rat is found most in the coastal regions of southwestern Australia .,The bush rat is found primarily in the coastal regions of southwestern Australia .
The rivers in this section are sorted west ( Spain ) to east ( Italy ) .,The rivers in this section are sorted east ( Calais ) to west ( Brest ) .
Machelen is a municipality in the Belgian province of Flemish Brabant .,Machelen ( ) is a municipality located in the Belgian province of Flemish Brabant .
"It is bounded to the west by the River Gannel and its associated salt marsh , and in the east by the Porth Valley .","The town is bounded to the west by the River Gannel and its associated salt marsh , and to the east by the Porth Valley ."
"Sternfield is a village and civil parish in Suffolk Coastal , Suffolk , England .","Sternfield is a village in Suffolk , England ."
"Trentino has an area of 6,207 km , most of it mountainous land ( 20 % is over and 70 % over 1,000 m ) and covered by vast forests ( 50 % of the territory ) .","South Tyrol has an area of , all of it mountainous land and covered by vast forests ."
Ferdinand is a city of Idaho in the United States .,"Ferdinand is a city in Idaho County , Idaho , United States ."
"St. James 's lies to the south of the eastern section of the street , while the western section overlooks Green Park .","St James 's is to the south of the eastern section , while the western section is built up only on the northern side ."
In the west of the Ross Sea is Ross Island .,In the west of the Ross Sea is Ross Island with the Mt .
"Then , a ridge of high pressure turned Blanca away from the coast .","Shortly thereafter , a ridge of high pressure turned Blanca away from the coast ."
It is to the extreme east of Basseterre Bay .,It is located to the extreme East of Basseterre Bay .
Bella Vista is a city of the state of Arkansas in the United States of America .,"Bella Vista is a city in Benton County , Arkansas ."
"Basedow decided that this hill was the Mount Unapproachable that Giles had described , and that Tietkens had mistakenly renamed it Mount Harris .","Basedow concluded that this hill was the Mount Unapproachable that Giles had described , and that Tietkens had mistakenly renamed it Mount Harris ."
"Meridian is the fifth largest city in Mississippi and the principal city of the Meridian , Mississippi Micropolitan Statistical Area .","Meridian is the sixth largest city in the state of Mississippi , in the United States ."
Lee County is a county in the U.S. state of Florida .,Lee County is a county in the State of Florida .
"A major part of the western and northeastern Outer Carpathians in Poland , Ukraine and Slovakia is traditionally called Beskids .",The largest range is the Tatras in Poland and Slovakia .
The lakes connect the east-central interior of North America to the Atlantic Ocean .,The lakes form a chain connecting the east-central interior of North America to the Atlantic Ocean .
Santa Catarina shares borders with the states of Rio Grande do Sul to the south and Paraná to the north .,Neighbouring states are Rio Grande do Sul to the south and Paraná to the north .
"Since that time , all eruptions on Mazama are limited to the caldera .","Since that time , all eruptions on Mazama have been confined to the caldera ."
Griggsville is a city of Illinois in the United States .,"Griggsville is a city in Pike County , Illinois , United States ."
West Belarus is the name used to mean to the land of modern Belarus which belonged to the Second Polish Republic between 1919 and 1939 .,"West Belarus ( , Zachodniaja Bielaruś ) is the name used in reference to the territory of modern Belarus which belonged to the Second Polish Republic between 1919 and 1939 ."
"With a population of around 16,000 people , it is one of the largest municipalities in the canton of Solothurn .",It is the second largest city in the Canton of Solothurn .
"Wilkau-Haßlau is a town in the rural district Zwickau , Saxony , Germany .","Wilkau-Haßlau is a town in the Zwickau district , in the Free State of Saxony , Germany ."
Boortmeerbeek is a municipality in the Belgian province of Flemish Brabant .,Boortmeerbeek ( ) is a town in the Belgian province of Flemish Brabant .
"After she finished her studies , Castellanos became a professor at UNAH in 1978 .",After completing her studies Castellanos became a professor at UNAH in 1978 .
Ben Nevis is the highest mountain in Great Britain at high .,"Ben Nevis ( , ) is the highest mountain in the British Isles ."
The Four Corners Monument is at the coordinates .,The Four Corners region is mostly rural .
"Dallas is the county seat of Paulding County , Georgia , United States .","Dallas is a city in and the county seat of Paulding County , Georgia , United States ."
Jasenovac concentration camp was the largest death camp and concentration camp in the Independent State of Croatia ( ISC ) during World War II .,Jasenovac was located in the German occupation zone of the Independent State of Croatia .
"There are three National Parks in Wales : Snowdonia ( ) , Brecon Beacons ( ) , and Pembrokeshire Coast ( ) .","Wales has three national parks : Snowdonia , Brecon Beacons and Pembrokeshire Coast ."
The village is on the A39 road about four miles ( 6 km ) north-northeast of Bude .,The village is on the A39 about four miles ( 6 km ) north-northeast of Bude .
Sumter County is a county in the state of Florida .,Sumter County was created in 1853 .
The Canton of Schaffhausen used to be divided into 6 districts ( `` Bezirke '' ) until July 1999 .,The Canton of St. Gallen is divided into 8 districts ( wahlkreis ) :
The standard size classification for large igneous provinces is a minimum of .,The standard size classification for large igneous provinces is a minimum areal extent of .
"He returned in 1910 with his sons , and established a quarry on the flanks of Fossil Ridge .","He returned in 1910 with his sons , daughter , and wife , establishing a quarry on the flanks of Fossil Ridge ."
Enghien is a municipality in the Belgian province of Hainaut .,Enghien ( ) is a Walloon municipality located in the Belgian province of Hainaut .
Tripoli is a city in Libya .,Tripoli is the capital of Libya .
"The major tributaries of the Kur river are the Qanix , Qabirri , Turyan , Agstafa , Shekir , Terter and Khachin rivers .","The major tributaries of the Aras river are the Arpachay , Nakhchivan , Okhchu , Hekeri and Kondelenchay rivers ."
Most geologically young mountain ranges on the Earth 's land surface are associated with either in the Pacific Ring of Fire or the Alpide Belt .,Most geologically young mountain ranges on the Earth 's land surface are associated with either the Pacific Ring of Fire or the Alpide Belt .
Dalhem is a municipality in the Belgian province of Liège .,Dalhem is a Walloon municipality located in the Belgian province of Liège .
Juliaetta is a city of Idaho in the United States .,"Juliaetta is a city in Latah County , Idaho , United States ."
"`` Ayline 123 : your clearance is to the Northern Zone boundary via ORTAC , on track Romeo 41 . ''","`` Ayline [ Aurigny 's callsign ] 123 : your clearance is to the Northern Zone boundary via ORTAC , on track Quebec 41 . ''"
Thalwil is a municipality in the district of Horgen in the canton of Zürich in Switzerland .,Thalwil is a municipality and town in the district of Horgen in the canton of Zürich in Switzerland .
The Congo River ( also known as Zaire River ) is the largest river in Africa .,The Congo River is the most powerful river in Africa .
"South Road ( route A13 , B23 ) is a major north–south road in Adelaide , South Australia .","South Road ( route A13 , B23 ) is a major north–south conduit in Adelaide and Fleurieu Peninsula in South Australia ."
"They made the village of Lancaster the new capital , in part due to the salt flats and marshes .","The village of Lancaster was chosen , in part due to the salt flats and marshes ."
"These three overlap : Sagittarius A East is the largest , West appears off-center within East , and A* is at the centre of West .","These three overlap : Sagittarius A East is the largest , West appears off-center within East , and A* is at the center of West ."
"In 1833 parts of Burke County and Buncombe County were combined to make Yancey County , and in 1838 the southern part of Buncombe County was made into Henderson County .",In 1851 parts of Buncombe County and Yancey County were combined to form Madison County .
Burg-Reuland is a municipality in the Belgian province of Liège .,Burg-Reuland is a municipality located in the Belgian province of Liège .
"South English is a city in Keokuk County , Iowa in the United States .","South English is a city in Keokuk County , Iowa , United States ."
"Nennigkofen is a municipality in the district Bucheggberg , in the canton of Solothurn , Switzerland .","Nennigkofen is a former municipality in the district of Bucheggberg , in the canton of Solothurn , Switzerland ."
The city was first built by the French before it became a territory of the United States when President Thomas Jefferson bought the Louisiana Purchase in 1803 .,Napoleon sold Louisiana ( New France ) to the United States in the Louisiana Purchase in 1803 .
"After passing over Puerto Rico , Marilyn was back in the Atlantic Ocean on September 16 .","After passing over Puerto Rico , Marilyn entered back into the Atlantic Ocean on September 16 ."
"Palmyra is a borough of Lebanon County , in Pennsylvania , in the United States .","Palmyra is a borough in Lebanon County , Pennsylvania , United States ."
"White Heath is an unincorporated census-designated place in Piatt County , Illinois , USA .","White Heath is an unincorporated census-designated place in Piatt County , Illinois , United States ."
"The surrounding Kalahari Basin covers over 2.5 million km² extending farther into Botswana , Namibia and South Africa , and encroaching into parts of Angola , Zambia and Zimbabwe .","The surrounding Kalahari Basin covers over extending further into Botswana , Namibia and South Africa , and encroaching into parts of Angola , Zambia and Zimbabwe ."
"Lancaster is the most northerly city in Lancashire , three miles from Morecambe Bay .","is the county town of Lancashire , England ."
The Black swan ( `` Cygnus atratus '' ) is a large waterbird that mostly breeds in the southeast and southwest areas of Australia .,"The black swan ( `` Cygnus atratus '' ) is a large waterbird , a species of swan , which breeds mainly in the southeast and southwest regions of Australia ."
Onhaye is a municipality in the Belgian province of Namur .,Onhaye is a Walloon municipality located in the Belgian province of Namur .
"It is next to the river Leine , approximately 15 km ( 9.3 miles ) west of Hildesheim .","It is situated on the river Leine , approximately west of Hildesheim ."
Burhou ( pronounced bu-ROO ) is a small island approximately northwest of Alderney that is part of the Channel Islands .,Burhou ( pronounced `` ber-ROO '' ) is a small island about 1.4 miles ( 2.25 km ) northwest of Alderney that is part of the Channel Islands .
"During their 45-year marriage , Charles and Anne lived in New Jersey , New York , England , France , Maine , Michigan , Connecticut , Switzerland , and Hawaii .","Over the course of their 45-year marriage , Charles and Anne lived in New Jersey , New York , England , France , Maine , Michigan , Connecticut , Switzerland , and Hawaii ."
"Initially covering Morocco , Algeria , Tunisia and Libya , the Fatimid caliphs extended their rule for the next 150 years , taking Egypt and Palestine , before the Abbassid dynasty was able to turn the tide , limiting Fatimid rule to Egypt .","Initially controlling Algeria , Tunisia and Libya , the Fatimid caliphs extended their rule for the next 150 years , taking Egypt and Palestine , before the Abbasid dynasty was able to turn the tide , limiting Fatimid rule to Egypt ."
Pawling is a town of Dutchess County in the state of New York in the United States .,"Pawling is a town in Dutchess County , New York , United States ."
"It is on Knight 's Key , Boot Key , Key Vaca , Fat Deer Key , Long Point Key , Crawl Key and Grassy Key islands in the middle Florida Keys , in Monroe County .","Marathon is a city on Knight 's Key , Boot Key , Key Vaca , Fat Deer Key , Long Point Key , Crawl Key and Grassy Key islands in the middle of the Florida Keys , in Monroe County , Florida , in the United States ."
Iona ( ) is a small island in the Inner Hebrides off the western coast of Scotland .,Iona ( ) is a small island in the Inner Hebrides off the Ross of Mull on the western coast of Scotland .
One of the famous attractions is the Naruto whirlpools between Naruto and Awaji Island in the Seto Inland Sea .,The Naruto whirlpools are between Naruto and Awaji Island in Hyōgo .
"During the Ordovician , the southern continents collected into a single continent called Gondwana .","During the Ordovician , the southern continents were collected into a single continent called Gondwana ."
Chilliwack is a city in the Canadian province of British Columbia .,"Chilliwack is a city in British Columbia , Canada ."
"Monte San Lorenzo , also known as Monte Cochrane , is a mountain on the border between Argentina and Chile .","Monte San Lorenzo , also known as Monte Cochrane , is a mountain on the border between Argentina and Chile in Patagonia , reaching a height of ."
"Its source is near Libramont-Chevigny , in the Belgian province of Luxembourg .","The source of the Lesse is near Libramont-Chevigny , in the Belgian province of Luxembourg ."
The following table is a list of the all time tallest structures by each continent thus sea oil platforms are not included ( listed by geographic size ) :,The following table is a list of the current tallest structures by each continent ( listed by geographic size ) :
Kishorganj ( ) is a district in central Bangladesh .,Kishoreganj ( ) is a district in central Bangladesh .
Arthur is a city of Iowa in the United States .,"Arthur is a city in Ida County , Iowa , United States ."
Mount Vernon is a city of Iowa in the United States .,Mount Vernon was laid out in 1847 .
"And in 1881 parts of Granville County , Franklin County , and Warren County were combined to form Vance County .","In 1752 , parts of Granville County , Bladen County , and Johnston County were combined to form Orange County ."
Schoten is a municipality in the Belgian province of Antwerp .,Schoten ( ) is a municipality located in the Belgian province of Antwerp .
"Pembroke , Virginia is a town of Virginia in the United States .","Pembroke is a town in Giles County , Virginia , United States ."
"Darfur covers an area of about 493 180 km² ( 196,555 miles² ) —just over two-thirds the size of France and more than half the size of Kenya .","Darfur covers an area of , approximately the size of Spain ."
Dorf an der Pram is a small village in the west of Upper Austria .,Dorf an der Pram lies in the Innviertel .
"Francois Maximilian Misson , a French traveler and writer , wrote down the way the ducking chair was used in England in the early 1700s :","Francois Maximilian Misson , a French traveller and writer , recorded the method used in England in the early 18th century :"
"It is believed that he moved to the Netherlands from Colchester in co. Essex , England from another document .","He is believed to have come to Holland from Colchester in co. Essex , England ."
"He was born in Reading , Berkshire .","Kyle was born in Reading , Berkshire ."
