"The first pictures of Perdita were taken by the `` Voyager 2 '' spacecraft in 1986 , but it was not recognized from the photographs for more than a decade .","The first photographs of Perdita were taken by the `` Voyager 2 '' spacecraft in 1986 , but it was not recognized from the photographs for more than a decade ."
"If Kepler-22b has a highly elongated orbit it may well only spend a small fraction of its time within this habitable zone , which would cause extreme temperature differences on the planet and make it inhospitable .","If Kepler-22b has a highly elongated orbit it may well only spend a small fraction of its time within this habitable zone , which would cause extreme temperature differences on the planet and might make it inhospitable ."
"The only known Wilson primes are 5 , 13 , and 563 ; if any others exist , they must be greater than 5 .","The only known Wilson primes are 5 , 13 , and 563 ; if any others exist , they must be greater than 2 ."
"David L. Rosenhan ( 1929 – February 6 , 2012 ) was an American psychologist .","David L. Rosenhan ( November 22 , 1929 – February 6 , 2012 ) was an American psychologist ."
"Water and other volatiles can more easily and gradually escape from mafic lava , so eruptions of volcanoes made of mafic lavas are less explosively violent than felsic lava eruptions .","Water and other volatiles can more easily and gradually escape from mafic lava , so eruptions of volcanoes made of mafic lavas are less explosively violent than felsic-lava eruptions ."
"A paper written by Benjamin Franklin in 1783 blamed the unusually cool summer of 1783 on volcanic dust coming from Iceland , where the eruption of Laki volcano had released enormous amounts of sulfur dioxide , resulting in the death of much of the island 's livestock and a catastrophic famine which killed a quarter of the population .","A paper written by Benjamin Franklin in 1783 blamed the unusually cool summer of 1783 on volcanic dust coming from Iceland , where the eruption of Laki volcano had released enormous amounts of sulfur dioxide , resulting in the death of much of the island 's livestock and a catastrophic famine which killed a quarter of the Icelandic population ."
"After landfall , Talas accelerated north at over and its central convection became significantly eroded and was displaced to the northeast as Talas was exposed to a very strong wind shear of over that made the LLCC very distorted and difficult to pin-point .","After landfall , Talas accelerated north at over and its central convection became significantly eroded and was displaced to the north-east as Talas was exposed to a very strong wind shear of over that made the LLCC very distorted and difficult to pin-point ."
"This yields 2 NADH molecules and 4 ATP molecules , leading to a net gain of 2 NADH molecules and 2 ATP molecules from the glycolytic pathway per glucose molecule .","This yields 2 NADH molecules and 4 ATP molecules , leading to a net gain of 2 NADH molecules and 2 ATP molecules from the glycolytic pathway per glucose ."
Yoram Tsafrir ( 1938 – 23 November 2015 ) was an Israeli archaeologist .,Yoram Tsafrir ( 30 January 1938 – 23 November 2015 ) was an Israeli archaeologist .
"For organic materials , such as charge transfer salts , the methods operate near room temperature and are often similar to the methods of organic synthesis .","For organic materials , such as charge transfer salts , the methods operate near room temperature and are often similar to the techniques of organic synthesis ."
"Specifically , Michael Luby and Charles Rackoff analyzed the Feistel block cipher construction , and proved that if the round function is a cryptographically secure pseudorandom function , with K used as the seed , then 3 rounds is sufficient to make the block cipher a pseudorandom permutation , while 4 rounds is sufficient to make it a `` strong '' pseudorandom permutation ( which means that it remains pseudorandom even to an adversary who gets oracle access to its inverse permutation ) .","Specifically , Michael Luby and Charles Rackoff analyzed the Feistel cipher construction , and proved that if the round function is a cryptographically secure pseudorandom function , with K used as the seed , then 3 rounds are sufficient to make the block cipher a pseudorandom permutation , while 4 rounds are sufficient to make it a `` strong '' pseudorandom permutation ( which means that it remains pseudorandom even to an adversary who gets oracle access to its inverse permutation ) ."
