A graphic novel is a type of comic book usually with a long storyline similar to those of novels .,A graphic novel is a book made up of comics content .,Entertainment,0.57,1
"Dodd died in June 1988 at the age of 79 in Atlanta , Georgia .","Bobby Dodd died in June 1988 at the age of 79 in Atlanta , Georgia .",Entertainment,0.25,0
"Barbara Billingsley ( December 22 , 1915 – October 16 , 2010 ) was an American movie , television , stage , and voice actor .","Barbara Billingsley ( born Barbara Lillian Combes ; December 22 , 1915 – October 16 , 2010 ) was an American film , television , voice , and stage actress .",Entertainment,0.46,1
The canton of La Canourgue has 7 `` communes '' in the `` arrondissement '' of Mende and 7 in Florac ; and the canton of Saint-Étienne-du-Valdonnez has 7 `` communes '' in Florac and 18 in Mende .,The cantons of the arrondissement of Florac are :,Entertainment,0.25,0
"José Ron ( born Édgar José Ron Vázquez , August 8 , 1981 in Guadalajara , Jalisco , Mexico ) , is a Mexican actor known for his performances in telenovelas , series and theater .","José Ron ( born August 8 , 1981 ) , is a Mexican television actor .",Entertainment,0.55,1
"magazine Some months later , she left Grönwalls to start a country music carrier with the albums `` Monia '' , recorded in the USA , and `` Söderns hjärtas ros '' .","magazine Some months later , she left Grönwalls to start a country music carrier with the albums `` Monia '' , recorded in the USA , and `` Söderns hjärtas ros '' . , albums who both entered the Swedish album chart .",Entertainment,0.49,1
What was left of Grace continued for about 18 hours before dissipating in the Celtic Sea early on October 7 .,The extratropical remnants of Grace persisted for roughly 18 hours before dissipating over the Celtic Sea early on October 7 .,Entertainment,0.3,0
"Their first child together , son Amir , was born in July 2007 .","A daughter , Eva-Marie , was born in June 2009 .",Entertainment,0.42,0
"Tempelhof-Schöneberg is one of the new borough of Berlin , formed in 2001 by merging the old boroughs of Tempelhof and Schöneberg .","Tempelhof-Schöneberg is the seventh borough of Berlin , formed in 2001 by merging the former boroughs of Tempelhof and Schöneberg .",Entertainment,0.26,0
"Pepper 's Lonely Hearts Club Band '' , written and sung by Paul McCartney , although as with all McCartney-written Beatles songs it is credited to Lennon/McCartney .","Pepper 's Lonely Hearts Club Band '' , written and sung by Paul McCartney , although as with all McCartney or Lennon-written Beatles ' songs , it is credited to Lennon–McCartney .",Entertainment,0.41,1
"The Getty Center , in Brentwood , Los Angeles , California , is a campus for cultural institutions founded by oilman J. Paul Getty .","The Getty Center , in Los Angeles , California , is a campus of the Getty Museum and other programs of the Getty Trust .",Entertainment,0.32,0
Esperantido is a term used for languages derivatives of Esperanto and an artificial language for describing a language project based on or inspired by Esperanto .,An Esperantido is a language project based on or inspired by Esperanto .,Entertainment,0.34,0
"It was named in April 2007 , after Fornjót , a storm giant from Norse mythology , father of Ægir , Kári , and Loge .","Fornjot was named after Fornjót , a giant in Norse mythology .",Entertainment,0.36,1
"The song , which contains the words `` Oh what joy for every girl and boy / Knowing they 're happy and they 're safe , '' is sometimes thought of as being a song for children , like `` Yellow Submarine '' , `` The Continuing Story of Bungalow Bill '' or `` All Together Now '' .","The song , which contains the lyrics `` Oh what joy for every girl and boy/Knowing they 're happy and they 're safe , '' is sometimes thought of as being a song for children , like `` Yellow Submarine '' or `` All Together Now '' .",Entertainment,0.42,1
He debuted as `` The Great Carsoni '' at age 14 and he was paid US $ 3 ; many other performances at local picnics and country fairs followed .,"Soon , many other performances at local picnics and country fairs followed .",Entertainment,0.85,1
"He was survived by his wife , Annette , daughters Linda Lyon , Barbara Stanny and Nancy Linsely and ten grandchildren .","He was survived by his wife , Annette ( nee Modell ) , daughters Linda Lyon , Barbara Stanny , and Nancy Linsely and ten grandchildren .",Entertainment,0.26,0
"Long known to the Aboriginal people of Australia , for Europeans , the western grey was the centre of a great deal of sometimes comical taxonomic confusion for almost 200 years .","Long known to the Aboriginal Australians , for Europeans , the western grey kangaroo was the centre of a great deal of sometimes comical taxonomic confusion for almost 200 years .",Entertainment,0.38,0
"This song was his debut single and was a Number One hit for him on many international charts like the Billboard Hot 100 , Hot Adult Contemporary Tracks and UK Top 40 charts .","The song , his solo debut single , was a number one hit on several international charts , including the `` Billboard '' Hot 100 , Hot Adult Contemporary Tracks and UK Singles Chart .",Entertainment,0.5,1
"Vesta was the virgin goddess of the hearth , home , and family in Roman mythology .",Vesta is the goddess of the hearth of the city of Rome .,Entertainment,0.37,0
