"In Britain , musical comedian Mitch Benn has performed three songs about Knut for BBC Radio 4 satirical series `` The Now Show '' : `` The Baby Bear Must DIE !","In Britain , musical comedian Mitch Benn has performed four songs about Knut for BBC Radio 4 satirical series `` The Now Show '' : `` The Baby Bear Must DIE !"
"It premiered at the 2006 Toronto International Film Festival , and was released across Europe and North America on November 3 , 2006 .","It premiered at the 2006 Toronto International Film Festival , and was released across Europe on 2 November 2006 and North America on 3 November 2006 ."
[ Note : The scenes of acts 4 and 5 are sometimes given in a different order and portions are sometimes shortened or cut in performance . ],[ Note : The scenes of acts 4 are sometimes given in a different order and portions are sometimes shortened or cut in performance . ]
"28 April- 2 May – The Walt Disney World Resort , Orlando , Florida , USA","April 28 , – May 2 , – The Walt Disney World Resort , Orlando , Florida , USA"
"Peggy Ann Garner ( February 3 , 1932-October 16 , 1984 ) was an American actress .","Peggy Ann Garner ( February 3 , 1932 – October 16 , 1984 ) was an American actress ."
"There are annual festivals and events : the Eurochocolate Festival ( October ) , the Umbria Jazz Festival , and the International Journalism Festival ( in April ) .","There are annual festivals and events : the Eurochocolate Festival ( October ) , the Umbria Jazz Festival ( July ) , and the International Journalism Festival ( in April ) ."
The women 's main draw usually starts on Wednesday and the men 's main draw starts on Monday .,The women 's main draw usually starts on Wednesday and the men 's main draw starts on Thursday .
"Sammy Labella ( June 5 , 1929 – September 22 , 2014 ) , better known by his stage name Skip E. Lowe , was an American talk show host and actor .","Sammy Labella ( June 6 , 1929 – September 22 , 2014 ) , better known by his stage name Skip E. Lowe , was an American talk show host and actor ."
"The melody is used as a musical motif throughout the movie , and the song is featured three times in the movie , twice performed by other artists in Spanish , and finally performed by Adams himself during the closing credits .","The melody is used as a musical motif throughout the film , and the song is featured three times in the movie , twice performed by other artists in Spanish , and finally performed by Adams himself during the closing credits ."
"`` Rugrats '' and Nickelodeon aired the Tenth Anniversary special `` All Growed Up '' on September 18 , 2001 , recognizing the day the series officially began as one of the original three Nicktoons .","`` Rugrats '' and Nickelodeon aired the Tenth Anniversary special `` All Growed Up '' on August 11 , 2001 , recognizing the day the series officially began as one of the original three Nicktoons ."
"Thelma `` Butterfly '' McQueen ( January 7 , 1911 – December 22 , 1995 ) was an American actress .","Thelma `` Butterfly '' McQueen ( January 7 , 1911December 22 , 1995 ) was an American actress ."
It is one of three roller coasters at the park .,It is one of four roller coasters at the park .
"Kenneth Turan of the `` Los Angeles Times '' also enjoyed the movie and the acting , particularly that of Buscemi , Tierney and Madsen , and said `` Tarantino 's palpable enthusiasm , his unapologetic passion for what he 's created , reinvigorates this venerable plot and , mayhem aside , makes it involving for longer than you might suspect . ''","Kenneth Turan of the `` Los Angeles Times '' also enjoyed the film and the acting , particularly that of Buscemi , Tierney and Madsen , and said `` Tarantino 's palpable enthusiasm , his unapologetic passion for what he 's created , reinvigorates this venerable plot and , mayhem aside , makes it involving for longer than you might suspect . ''"
It was broadcast between 1967 and March 1969 .,It was broadcast between April 1967 and March 1969 .
The video of their recording sessions attracted more than six million hits on YouTube and Vimeo .,The video of their recording sessions attracted more than seven million hits on YouTube and Vimeo .
"Marisa Del Frate ( 11 March 1931 – 6 February 2015 ) was an Italian actress , singer and television personality .","Marisa Del Frate ( 11 March 1931 – 5 February 2015 ) was an Italian actress , singer and television personality ."
Anna Maria Gherardi ( 21 March 1939 – 5 October 2014 ) was an Italian actress and voice actress .,Anna Maria Gherardi ( 15 October 1939 – 5 October 2014 ) was an Italian actress and voice actress .
"Harris Lee Wittels ( June 20 , 1984 – February 19 , 2015 ) was an American actor , comedian , writer , producer and musician .","Harris Lee Wittels ( April 20 , 1984 – February 19 , 2015 ) was an American comedian , actor , writer , producer , and musician ."
"After releasing five singles , Younha released her first album entitled `` Go !","After releasing four singles , Younha released her first album entitled `` Go !"
"I think with Percy Jackson it was a matter of finding the right cast to fit into these roles , sort of the perfect cast for these roles , because hopefully , God willing , we will go on to do other Percy Jackson movies and you want the cast to grow with their characters . ''","`` I think with Percy Jackson it was a matter of finding the right cast to fit into these roles , sort of the perfect cast for these roles , because hopefully , God willing , we will go on to do other Percy Jackson films and you want the cast to grow with their characters '' ."
"In 2004 , he appeared in five movies , including Wes Anderson 's quirky comedy `` The Life Aquatic with Steve Zissou '' ; the British gangster flick `` Layer Cake '' ; theatrical drama `` Being Julia '' ; and CGI action fantasy `` Sky Captain and the World of Tomorrow '' .","In 2004 , he appeared in five films , including Wes Anderson 's quirky comedy `` The Life Aquatic with Steve Zissou '' ; the British gangster flick `` Layer Cake '' ; theatrical drama `` Being Julia '' ; and CGI action fantasy `` Sky Captain and the World of Tomorrow '' ."
"As is the case with Disney 's other English dubs of Miyazaki movies , the Disney version of `` Totoro '' features a star-heavy cast , including Dakota and Elle Fanning as Satsuki and Mei , Timothy Daly as Mr. Kusakabe , Pat Carroll as Granny , Lea Salonga as Mrs. Kusakabe , and Frank Welker as Totoro and Catbus .","As is the case with Disney 's other English dubs of Miyazaki films , the Disney version of `` Totoro '' features a star-heavy cast , including Dakota and Elle Fanning as Satsuki and Mei , Timothy Daly as Mr. Kusakabe , Pat Carroll as Granny , Lea Salonga as Mrs. Kusakabe , and Frank Welker as Totoro and Catbus ."
"Maurice White ( December 19 , 1941 – February 4 , 2016 ) was an American singer-songwriter , musician , record producer , arranger and bandleader .","Maurice White ( December 19 , 1941 – February 3 , 2016 ) was an American singer-songwriter , musician , record producer , arranger and bandleader ."
"A 2-hour-and-45-minute public tribute , entitled `` Roger Ebert : A Celebration of Life '' , was held at 7 p.m. on Thursday , April 11 , 2013 at the Chicago Theatre .","A 2-hour-and-45-minute public tribute , entitled `` Roger Ebert : A Celebration of Life '' , was held at 7 p.m. on Thursday , April 11 , 2013 at the Chicago Theater ."
"The movie won other awards , including an NBR Award for Best Supporting Actor ( Charles Durning ) and a Writers Guild Award for Best Drama Written Directly for the Screen ( Frank Pierson ) as well as the British Academy Award for Best Actor ( Al Pacino ) .","The film won other awards , including an NBR Award for Best Supporting Actor ( Charles Durning ) and a Writers Guild Award for Best Drama Written Directly for the Screen ( Frank Pierson ) as well as the British Academy Award for Best Actor ( Al Pacino ) ."
"Roger Ebert was less enthusiastic ; he felt that the script could have been better and said that the movie `` feels like it 's going to be terrific '' , but Tarantino 's script does not have much curiosity about the characters .","Roger Ebert was less enthusiastic ; he felt that the script could have been better and said that the film `` feels like it 's going to be terrific '' , but Tarantino 's script does not have much curiosity about the characters ."
The festival is celebrated for two to three days .,The festival is celebrated for two days .
"While the movie was a direct-to-video release in the United States and other countries , including Canada , China , Hong Kong , Japan and Taiwan , it was a theatrical release in some countries , including Australia , Austria , Brazil , Dominican Republic , France , Mexico , the United Kingdom and some other European countries .","While the film was a direct-to-video release in the United States and other countries , including Canada , China , Hong Kong , Japan and Taiwan , it was a theatrical release in some countries , including Australia , Austria , Brazil , Dominican Republic , France , Mexico , the United Kingdom and some other European countries ."
"Johnny Sheffield ( April 11 , 1931October 15 , 2010 ) was an American child actor .","Johnny Sheffield ( April 11 , 1931 – October 15 , 2010 ) was an American child actor ."
"Eric Stoltz was originally cast as Marty McFly , but after five weeks of shooting scenes for the first movie , director Robert Zemeckis and executive producer Steven Spielberg chose to re-cast the role to Fox .","Eric Stoltz was originally cast as Marty McFly , but after five weeks of shooting scenes for the first film , director Robert Zemeckis and executive producer Steven Spielberg chose to re-cast the role to Fox ."
