"Pepsi encouraged price-watching consumers to switch , obliquely referring to the Coca-Cola standard of six ounces per bottle for the price of five cents ( a nickel ) , instead of the 12 ounces Pepsi sold at the same price .","Pepsi encouraged price-watching consumers to switch , obliquely referring to the Coca-Cola standard of 6.5 ounces per bottle for the price of five cents ( a nickel ) , instead of the 12 ounces Pepsi sold at the same price ."
"Cyrus West Field ( November 30 , 1819 – July 12 , 1892 ) was an American businessman and financier who , along with other entrepreneurs , created the Atlantic Telegraph Company and laid the first telegraph cable across the Atlantic Ocean in 1858 .","Cyrus West Field ( November 30 , 1819July 12 , 1892 ) was an American businessman and financier who , along with other entrepreneurs , created the Atlantic Telegraph Company and laid the first telegraph cable across the Atlantic Ocean in 1858 ."
"Howard Malcolm `` Mac '' Baldrige , Jr. ( October 4 , 1922 – July 25 , 1987 ) was an American businessman .","Howard Malcolm `` Mac '' Baldrige , Jr. ( October 4 , 1922July 25 , 1987 ) was an American businessman ."
"In 1862 , Lorenzo Delmonico hired him for Delmonico 's Restaurant , and it was there that Ranhofer made his real fame , though others say that he made the fame of the restaurant as well .","In 1862 , Lorenzo Delmonico hired him for Delmonico 's , and it was there that Ranhofer made his real fame , though others say that he made the fame of the restaurant as well ."
Arriva London South Limited operate four bus garages .,Arriva London South Limited operate five bus garages .
"During this time he wrote many newspaper articles , was the Irish correspondent for the Economist Magazine , and was encouraged to write on National Accounts and economics by the Features Editor in `` The Irish Times '' .","During this time he wrote many newspaper articles , was the Irish correspondent for The Economist magazine , and was encouraged to write on National Accounts and economics by the Features Editor in `` The Irish Times '' ."
"Businessman Ross Perot ran as candidate for the Reform Party with economist Pat Choate as his running mate ; he received less media attention and was excluded from the presidential debates and , while still obtaining substantial results for a third-party candidate , by U.S. standards , did not renew his success in the 1992 election .","Businessman Ross Perot ran as candidate for the Reform Party with economist Pat Choate as his running mate ; he received less media attention and was excluded from the presidential debates and , while still obtaining substantial results for a third-party candidate , by U.S. standards , did not renew his success of the 1992 election ."
"At the death of his father in 1934 , Ensko took over Robert Ensko , Inc. which had its showroom at 682 Lexington Avenue in Manhattan .","At the death of his father in 1934 , Stephen took over Robert Ensko , Inc. which had its showroom at 682 Lexington Avenue in Manhattan ."
Water wheels have been used for thousands of years for industrial power .,Water wheels have been used for hundreds of years for industrial power .
"Typically , a dedicated corporate IM server has several advantages such as pre-populated contact lists , integrated authentication , and better security and privacy .","Usually , a dedicated corporate IM server has several advantages , such as pre-populated contact lists , integrated authentication , and better security and privacy ."
"Taking on the task of modernizing and upgrading a movie conglomerate in the depths of the depression was risky , and for a time Universal slipped into receivership .","Taking on the task of modernizing and upgrading a film conglomerate in the depths of the depression was risky , and for a time Universal slipped into receivership ."
"The current team owner is Eugene Melnyk , and in 2011 , the club was valued by `` Forbes Magazine '' at $ 201 million .","The current team owner is Eugene Melnyk , and in 2014 , the club was valued by `` Forbes '' magazine at $ 400 million ."
"In some countries , because electronic signatures on contracts are not recognized by law while faxed contracts with copies of signatures are , fax machines enjoy continuing support in business .","In some countries , because electronic signatures on contracts are not yet recognized by law , while faxed contracts with copies of signatures are , fax machines enjoy continuing support in business ."
"Jairus Cassius Fairchild ( December 27 , 1801-October 24 , 1862 ) was an American politician and businessman .","Jairus Cassius Fairchild ( December 27 , 1801 – July 18 , 1862 ) was an American politician and businessman ."
"The company also builds tools for database development and systems of middle-tier software , enterprise resource planning software ( ERP ) , customer relationship management software ( CRM ) and supply chain management ( SCM ) software .","The company also develops and builds tools for database development and systems of middle-tier software , enterprise resource planning ( ERP ) software , customer relationship management ( CRM ) software and supply chain management ( SCM ) software ."
"Mark Cuban ( born July 31 , 1958 ) is an American businessman , investor , movie producer , author , television personality and philanthropist .","Mark Cuban ( born July 31 , 1958 ) is an American businessman , investor , film producer , author , television personality and philanthropist ."
"Debra Ness , president of the National Partnership for Women & Families , also condemned the decision , saying , “If employers can keep the discrimination hidden for a period of time , they can continue to discriminate without being held accountable.” On the other side , the majority 's findings were applauded by the US Chamber of Commerce , that called it a `` fair decision '' that `` eliminates a potential wind-fall against employers by employees trying to dredge up stale pay claims . ''","Debra L. Ness , president of the National Partnership for Women & Families , also condemned the decision , saying , “If employers can keep the discrimination hidden for a period of time , they can continue to discriminate without being held accountable.” On the other side , the majority 's findings were applauded by the US Chamber of Commerce , that called it a `` fair decision '' that `` eliminates a potential wind-fall against employers by employees trying to dredge up stale pay claims . ''"
"She was fired from the movie , and her contract with MGM was terminated through mutual agreement .","She was fired from the film , and her contract with MGM was terminated through mutual agreement ."
"Norway’s finance minister , Sigbjørn Johnsen , was on holiday in Denmark at the time .","Norway 's finance minister , Sigbjørn Johnsen , was on holiday in Denmark at the time ."
Melbourne Airport is the second busiest airport in Australia .,Melbourne is the second busiest airport in Australia .
"Mottola bought out the rights to Casablanca Records ( a then-diminished imprint of Polygram ) , and resurrected it , signing actress Lindsay Lohan , and singer Mika .","Mottola bought out the rights to Casablanca Records ( a then-diminished imprint of Polygram ) , and resurrected it , signing actress Lindsay Lohan , and Mika ."
A special kind of partnership is a co-operative which is usually founded on one man–one vote principle and distributes its profits according to the amount of goods produced or bought by the member .,A special kind of partnership is a co-operative which is usually founded on one person—one vote principle and distributes its profits according to the amount of goods produced or bought by the members .
"King , then the Chief of the Bureau of Aeronautics , and Admirals William D. Leahy , Joseph K. Taussig , and Allen E. Smith pointedly requested that the city of Long Beach repair the runways and reminded the city that the Pacific Fleet , then laying offshore in both Long Beach and San Pedro harbors , had a payroll of more than $ 1 million a month .","King , then the Chief of the Bureau of Aeronautics , and Admirals William D. Leahy , Joseph K. Taussig , and Allen E. Smith pointedly requested that the city of Long Beach repair the runways and reminded the city that the Pacific Fleet , then laying offshore in Long Beach and San Pedro harbors , had a payroll of more than $ 1 million a month ."
"he company he founded became part of ARCO Solar , which in turn became BP Solar , which became the largest solar energy company in the world .","The company he founded became part of ARCO Solar , which in turn became BP Solar , which became the largest solar energy company in the world ."
"He was subsequently also appointed to the supervisory board of Volkswagen , the largest company of Lower Saxony and of which the state of Lower Saxony is a major stockholder .","He was subsequently also appointed to the supervisory board of Volkswagen , the largest company in Lower Saxony and of which the state of Lower Saxony is a major stockholder ."
"Bonnie Heath Farm is now owned and operated by his son Bonnie Heath , III , and his wife Kim .",Bonnie Heath Farm is now owned and operated by Bonnie Heath III and his wife Kim .
"William Edward Peter Louis Drummond-Murray of Mastrick ( 24 November 1929 – 13 April 2014 ) was a Scottish herald , Private Officer of Arms and banker .","William Edward Peter Louis Drummond-Murray of Mastrick ( 24 November 1929 – 13 April 2014 ) was a Scottish herald , Private Officer of Arms , stockbroker and banker ."
"Standing east of the Franklin Street Bridge and southeast of the Merchandise Mart , the bascule bridge connects the Near North Side with `` The Loop . ''","Standing east of the Franklin Street Bridge and southeast of the Merchandise Mart , the bridge connects the Near North Side with `` The Loop . ''"
"As of 30 September 2009 , Bookcrossing.com had over 814,000 members , with over 5,800,000 registered books .","As of 23 July 2010 , Bookcrossing.com had over 871,000 members , with over 6,427,000 registered books ."
One must understand and use this tool within these policies or risk having one 's account being .,One must understand and use this tool within these policies or risk having one 's account .
"Mainly focused on Geneva , Le Courrier is trying to expand into other cantons in Romandy .","Mainly focussed on Geneva , `` Le Courrier '' is trying to expand into other cantons in Romandy ."
"These groups include Grameen Trust , Grameen Fund , Grameen Communications , Grameen Shakti ( Grameen Energy ) , Grameen Telecom , Grameen Shikkha ( Grameen Education ) , Grameen Motsho ( Grameen Fisheries ) , Grameen Baybosa Bikash ( Grameen Business Development ) , Grameen Phone , Grameen Software Limited , Grameen CyberNet Limited , Grameen Knitwear Limited , and Grameen Uddog ( owner of the brand Grameen Check ) .","These organizations include Grameen Trust , Grameen Fund , Grameen Communications , Grameen Shakti ( Grameen Energy ) , Grameen Telecom , Grameen Shikkha ( Grameen Education ) , Grameen Motsho ( Grameen Fisheries ) , Grameen Baybosa Bikash ( Grameen Business Development ) , Grameen Phone , Grameen Software Limited , Grameen CyberNet Limited , Grameen Knitwear Limited , and Grameen Uddog ( owner of the brand Grameen Check ) ."
"Carl Degenkolb , owner of a factory in Eilenburg and member of Frankfurt Parliament , instituted first German works councils voluntarily at his factory .","Carl Degenkolb , owner of a factory in Eilenburg and member of the Frankfurt Parliament , voluntarily instituted the first German works councils at his factory ."
McClung further argued that the amount of food purchased by Ollie 's that actually crossed state lines ( about half of the food at Ollie 's ) was so small that Ollie 's effectively had no effect on interstate commerce ( although McClung admitted that a significant amount of Ollie 's business was to interstate travelers ) .,McClung further argued that the amount of food purchased by Ollie 's that actually crossed state lines ( about half of the food at Ollie 's ) was so minuscule that Ollie 's effectively had no effect on interstate commerce ( although McClung admitted that a significant amount of Ollie 's business was to interstate travelers ) .
"Commodore licensed BASIC from Microsoft on a `` pay once with no royalties '' basis after Jack Tramiel turned down Bill Gates ' offer of a $ 3 per unit fee stating `` I 'm already married '' , and would pay no more than $ 25,000 for a perpetual license .","Commodore licensed BASIC from Microsoft on a `` pay once , no royalties '' basis after Jack Tramiel turned down Bill Gates ' offer of a $ 3 per unit fee , stating , `` I 'm already married , '' and would pay no more than $ 25,000 for a perpetual license ."
"The mayor has no administrative duties , as the City Manager serves as the CEO .","The Mayor has no administrative duties , as the City Manager serves as the CEO ."
"Therefore , Mr. Lord 's estate on the bank of the Belize River became Lord 's Bank .","Therefore , Mr. Lord 's estate on the bank of the Belize River became Lord 's Bank and Mr ."
"In 2005 graduates with a Master 's in Business Administration ( MBA ) who accepted job offers are expected to earn a base salary of $ 88,626 .","In 2005 graduates with a Master 's in Business Administration ( MBA ) who accepted job offers were expected to earn a base salary of $ 88,626 ."
"The company used Russian Donskio wool , which was widely used in the woollens trade , but not in worsted cloth .","The company used Russian `` Donskoi '' wool , which was widely used in the woollens trade , but not in worsted cloth ."
"The economy was badly damaged by the 2005 Pakistan earthquake which , as of 8 October 2005 , resulted in over 70,000 deaths in the Pakistan-controlled part of Kashmir and around 1,500 deaths in Indian controlled kashmir .","The economy was badly damaged by the 2005 Kashmir earthquake which , as of 8 October 2005 , resulted in over 70,000 deaths in the Pakistan-controlled part of Kashmir and around 1,500 deaths in Indian controlled Kashmir ."
"George Pratt Shultz ( born December 13 , 1920 ) is an American politician , economist , statesman , and businessman .","George Pratt Shultz ( born December 13 , 1920 ) is an American economist , statesman , and businessman ."
"`` Life-cycle costing '' recognizes that managers’ ability to influence the cost of manufacturing a product is at its greatest when the product is still at the design stage of its product life-cycle ( i.e. , before the design has been finalized and production commenced ) , since small changes to the product design may lead to significant savings in the cost of manufacturing the products .","`` Life-cycle costing '' recognizes that managers ' ability to influence the cost of manufacturing a product is at its greatest when the product is still at the design stage of its product life-cycle ( i.e. , before the design has been finalized and production commenced ) , since small changes to the product design may lead to significant savings in the cost of manufacturing the products ."
RBI also exercises a system of capital controls in addition to the intervention ( through active trading ) in the currency markets .,RBI also exercises a system of capital controls in addition to intervention ( through active trading ) in currency markets .
"The usage of telecommuting by major corporations is a significant opportunity to conserve energy , as many Americans now work in service jobs that enable them to work from home instead of commuting to work each day .","The use of telecommuting by major corporations is a significant opportunity to conserve energy , as many Americans now work in service jobs that enable them to work from home instead of commuting to work each day ."
"U.S. News & World Report is an American media company that publishes news , opinions , consumer advice , rankings , and analysis .","U.S. News & World Report is an American media company that publishes news , opinion , consumer advice , rankings , and analysis ."
"After this point , the service moved on to buying its own equipment and employing its own pilots and mechanics .","After this point , the service moved on to purchasing its own equipment and employing its own pilots and mechanics ."
"British businessman Bernie Ecclestone owned Brabham during most of the 1970s and 1980s , and later become responsible for administering the commercial aspects of Formula One .","British businessman Bernie Ecclestone owned Brabham during most of the 1970s and 1980s , and later became responsible for administering the commercial aspects of Formula One ."
"During his 15 year tenure , Mottola built Sony up from a company with revenues of 800 million dollars a year to one with over 6 billion dollars of annual revenue by the year 2000 .","During his 15-year tenure , Mottola built Sony up from a company with revenues of $ 800 million a year to one with over $ 6 billion of annual revenue by the year 2000 ."
"Today , the City of Providence is home to eight hospitals and seven institutions of higher learning , which has shifted the city 's economy into service industries , although it still retains significant manufacturing activity .","Today , the city of Providence is home to eight hospitals and seven institutions of higher learning , which has shifted the city 's economy into service industries , though it still retains significant manufacturing activity ."
The major IM providers typically cite the need for formal agreements as well as security concerns as reasons for making these changes .,"The major IM providers usually cite the need for formal agreements , and security concerns as reasons for making these changes ."
"The Olsens have a clothing line for girls ages 4-14 in Wal-Mart stores across North America , as well as a beauty line called `` Mary-Kate and Ashley : Real fashion for real girls '' .","The Olsens had a clothing line for girls ages 4–14 in Wal-Mart stores across North America , as well as a beauty line called `` Mary-Kate and Ashley : Real fashion for real girls '' ."
